stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Mphasis Limited,2001-04-12,2002-01-07,270,holding_period,50000.0,77704.62787083404,27704.62787083404,0.5540925574166808
Reliance Industries Limited ,2001-04-30,2002-01-25,270,holding_period,50000.0,45956.204311203146,-4043.795688796854,-0.08087591377593706
Trigyn Technologies Limited,2001-04-30,2002-01-25,270,holding_period,50000.0,63502.88831835687,13502.888318356869,0.2700577663671373
Archies Limited ,2001-07-02,2002-03-29,270,holding_period,50000.0,44982.86316899552,-5017.136831004478,-0.10034273662008952
CyberTech Systems and Software Limited ,2001-07-02,2002-03-29,270,holding_period,50000.0,76602.90300874748,26602.903008747482,0.5320580601749496
Balaji Telefilms Limited ,2002-09-25,2003-06-23,271,holding_period,50000.0,30759.644466034017,-19240.355533965983,-0.3848071106793197
Sundram Fasteners Limited ,2004-01-23,2004-10-19,270,holding_period,50000.0,47347.64459424606,-2652.355405753937,-0.053047108115078734
Adani Enterprises Limited,2004-07-28,2006-01-02,523,holding_period,50000.0,44694.607268076405,-5305.392731923595,-0.10610785463847194
Summit Securities Limited,2006-02-07,2006-11-06,272,holding_period,50000.0,21446.53473265145,-28553.46526734855,-0.5710693053469711
K.C.P. Sugar and Industries Corporation Limited,2006-03-08,2006-12-04,271,holding_period,50000.0,25478.643535909305,-24521.356464090695,-0.49042712928181387
Noida Toll Bridge Company Limited ,2006-04-17,2008-01-02,625,holding_period,50000.0,116769.27465174186,66769.27465174186,1.335385493034837
Entertainment Network (India) Limited ,2006-05-30,2008-01-02,582,holding_period,50000.0,145511.39008167677,95511.39008167677,1.9102278016335354
Shree Rama Multi-Tech Limited ,2006-06-13,2008-01-02,568,holding_period,50000.0,50000.0,0.0,0.0
JM Financial Limited,2006-06-29,2008-01-02,552,holding_period,50000.0,684966.7783017684,634966.7783017684,12.699335566035368
United Breweries Limited,2006-08-24,2008-01-02,496,holding_period,50000.0,140061.96423295894,90061.96423295894,1.8012392846591787
City Union Bank Limited ,2008-01-23,2008-10-20,271,holding_period,50000.0,28590.904664524296,-21409.095335475704,-0.42818190670951406
Walchandnagar Industries Limited ,2008-02-25,2008-11-21,270,holding_period,50000.0,7229.454925539952,-42770.545074460046,-0.855410901489201
The Phoenix Mills Limited,2008-08-14,2009-05-11,270,holding_period,50000.0,30937.075899384432,-19062.924100615568,-0.3812584820123114
Piramal Enterprises Limited,2011-05-06,2012-01-31,270,holding_period,50000.0,44782.76290607797,-5217.237093922027,-0.10434474187844056
Wockhardt Limited ,2013-05-27,2014-02-21,270,holding_period,50000.0,16387.262577681922,-33612.73742231808,-0.6722547484463616
63 moons technologies limited,2013-08-02,2014-04-29,270,holding_period,50000.0,109867.73572398118,59867.73572398118,1.1973547144796237
Rollatainers Limited,2013-10-23,2014-07-21,271,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Indian Infotech and Software Limited,2015-01-01,2015-09-28,270,holding_period,50000.0,50000.0,0.0,0.0
Zydus Wellness Limited,2015-05-14,2016-02-08,270,holding_period,50000.0,36519.63510602254,-13480.364893977458,-0.2696072978795492
Handson Global Management (HGM) Limited ,2015-05-22,2016-02-16,270,holding_period,50000.0,50000.0,0.0,0.0
Adani Enterprises Limited,2015-06-03,2016-02-29,271,holding_period,50000.0,26833.710619418584,-23166.289380581416,-0.46332578761162835
Shree Rama Multi-Tech Limited ,2015-11-06,2016-08-02,270,holding_period,50000.0,50000.0,0.0,0.0
Vardhman Holdings Limited,2017-05-16,2018-02-12,272,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Maharashtra Scooters Ltd. ,2018-05-16,2019-02-11,271,holding_period,50000.0,66498.77461091217,16498.774610912165,0.3299754922182434
Precot Limited ,2018-05-21,2019-02-15,270,holding_period,50000.0,50000.0,0.0,0.0
Mukand Limited,2018-05-29,2019-02-25,272,holding_period,50000.0,50000.0,0.0,0.0
Handson Global Management (HGM) Limited ,2018-05-30,2019-02-25,271,holding_period,50000.0,50000.0,0.0,0.0
Jindal Photo Limited ,2019-05-30,2020-02-24,270,holding_period,50000.0,50000.0,0.0,0.0
Borosil Renewables Limited,2020-03-24,2021-01-01,283,holding_period,50000.0,533471.5892088484,483471.5892088484,9.669431784176968
Shree Rama Multi-Tech Limited ,2020-07-21,2021-04-19,272,holding_period,50000.0,50000.0,0.0,0.0
JCT Limited,2020-08-17,2021-05-14,270,holding_period,50000.0,50000.0,0.0,0.0
Hindustan Unilever Limited ,2021-04-29,2022-01-24,270,holding_period,50000.0,47446.06239405752,-2553.937605942483,-0.05107875211884971
Jindal Photo Limited ,2022-05-30,2023-02-24,270,holding_period,50000.0,50000.0,0.0,0.0
GFL Limited ,2023-05-30,2024-02-26,272,holding_period,50000.0,50000.0,0.0,0.0
