stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Mphasis Limited,2003-12-17,2004-01-08,22,sell_threshold,50000.0,54248.3674295587,4248.367429558697,0.08496734859117394
ADC India Communications Limited,2004-03-01,2004-04-28,58,sell_threshold,50000.0,50000.0,0.0,0.0
Mukand Limited,2004-03-29,2004-07-15,108,sell_threshold,50000.0,50000.0,0.0,0.0
BPL Limited ,2004-01-22,2004-07-16,176,sell_threshold,50000.0,50000.0,0.0,0.0
United Spirits Limited ,2004-05-17,2004-07-29,73,sell_threshold,50000.0,66140.4413327725,16140.441332772505,0.3228088266554501
Indian Oil Corporation Limited ,2004-07-14,2004-07-30,16,sell_threshold,50000.0,62638.823271433095,12638.823271433095,0.25277646542866195
Danlaw Technologies India Limited,2004-05-31,2004-09-01,93,sell_threshold,50000.0,50000.0,0.0,0.0
Tamilnadu Petroproducts Limited,2004-08-23,2004-09-08,16,sell_threshold,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
ITC Limited ,2004-06-22,2004-09-16,86,sell_threshold,50000.0,66365.57283154712,16365.57283154712,0.3273114566309425
Birla Cable Limited ,2004-01-21,2004-09-20,243,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Bank of India Limited ,2004-06-14,2004-11-04,143,sell_threshold,50000.0,50000.0,0.0,0.0
Cinevista Limited ,2004-07-01,2004-11-17,139,sell_threshold,50000.0,50000.0,0.0,0.0
City Union Bank Limited ,2004-08-23,2004-11-17,86,sell_threshold,50000.0,63016.157989228006,13016.157989228006,0.2603231597845601
Hindustan Petroleum Corporation Limited ,2004-05-31,2004-12-03,186,sell_threshold,50000.0,62050.89988401275,12050.899884012753,0.2410179976802551
MIRC Electronics Limited ,2004-08-13,2004-12-27,136,sell_threshold,50000.0,71767.65894174014,21767.65894174014,0.43535317883480285
ADC India Communications Limited,2004-05-17,2004-12-30,227,sell_threshold,50000.0,50000.0,0.0,0.0
Hindustan Unilever Limited ,2003-12-17,2006-01-02,747,sell_threshold,50000.0,48787.19594527815,-1212.804054721848,-0.024256081094437
Shree Rama Multi-Tech Limited ,2003-12-17,2006-01-02,747,sell_threshold,50000.0,50000.0,0.0,0.0
Sri Havisha Hospitality and Infrastructure Limited,2003-12-17,2006-01-02,747,sell_threshold,50000.0,50000.0,0.0,0.0
Pfizer Limited ,2004-02-25,2006-01-02,677,sell_threshold,50000.0,101130.77088547517,51130.77088547517,1.0226154177095035
Aksh Optifibre Limited ,2004-04-30,2006-01-02,612,sell_threshold,50000.0,50000.0,0.0,0.0
Castrol India Limited,2004-05-13,2006-01-02,599,sell_threshold,50000.0,74661.99044182432,24661.990441824324,0.49323980883648644
The Karur Vysya Bank Limited ,2004-06-04,2006-01-02,577,sell_threshold,50000.0,91360.81486321845,41360.814863218446,0.8272162972643688
Oracle Financial Services Software Limited,2004-08-24,2006-01-02,496,sell_threshold,50000.0,94092.9383310202,44092.938331020196,0.8818587666204039
The India Cements Limited ,2004-10-18,2006-01-02,441,sell_threshold,50000.0,127249.6989139103,77249.6989139103,1.5449939782782058
Aurobindo Pharma Limited ,2004-08-02,2006-01-09,525,sell_threshold,50000.0,69295.75219605507,19295.752196055066,0.3859150439211012
TVS Motor Company Limited,2004-10-14,2006-01-09,452,sell_threshold,50000.0,73507.0694150316,23507.069415031598,0.470141388300632
Archies Limited ,2003-12-17,2006-01-13,758,sell_threshold,50000.0,50000.0,0.0,0.0
Titan Company Limited,2004-09-03,2006-01-25,509,sell_threshold,50000.0,247202.73626421505,197202.73626421505,3.9440547252843015
Havells India Limited ,2003-12-31,2006-03-02,792,sell_threshold,50000.0,148203.30885979623,98203.30885979623,1.9640661771959245
Steel Authority of India Limited ,2006-01-02,2006-03-06,63,sell_threshold,50000.0,64544.60995191381,14544.609951913808,0.29089219903827623
Tata Steel Limited,2006-01-10,2006-03-06,55,sell_threshold,50000.0,63668.77431778929,13668.774317789292,0.2733754863557858
HDFC Bank Limited ,2004-01-09,2006-04-04,816,sell_threshold,50000.0,125041.68844229616,75041.68844229616,1.500833768845923
Oracle Financial Services Software Limited,2006-06-08,2006-07-05,27,sell_threshold,50000.0,66024.63653402076,16024.636534020756,0.32049273068041506
Aurobindo Pharma Limited ,2006-06-13,2006-07-12,29,sell_threshold,50000.0,62038.748635611424,12038.748635611424,0.24077497271222859
Indian Overseas Bank ,2006-06-08,2006-07-28,50,sell_threshold,50000.0,50000.0,0.0,0.0
City Union Bank Limited ,2006-06-01,2006-08-11,71,sell_threshold,50000.0,62367.223065250386,12367.223065250386,0.24734446130500776
The Great Eastern Shipping Company Limited,2006-06-08,2006-08-11,64,sell_threshold,50000.0,65569.54696107519,15569.54696107519,0.31139093922150374
IDBI Bank Limited ,2006-06-08,2006-08-16,69,sell_threshold,50000.0,63613.618472769194,13613.618472769194,0.2722723694553839
Zydus Lifesciences Limited ,2006-06-08,2006-08-18,71,sell_threshold,50000.0,68941.48722684303,18941.487226843034,0.3788297445368607
Mphasis Limited,2006-06-08,2006-08-29,82,sell_threshold,50000.0,63655.20471438422,13655.204714384221,0.27310409428768434
Punjab National Bank ,2006-06-15,2006-09-13,90,sell_threshold,50000.0,78699.44710772562,28699.447107725617,0.5739889421545123
Canara Bank ,2006-06-08,2006-09-14,98,sell_threshold,50000.0,67867.51121667986,17867.511216679864,0.3573502243335973
Mukta Arts Limited ,2006-06-12,2006-09-21,101,sell_threshold,50000.0,50000.0,0.0,0.0
Rane Engine Valve Limited,2006-05-19,2006-10-03,137,sell_threshold,50000.0,50000.0,0.0,0.0
MIRC Electronics Limited ,2006-02-28,2006-10-04,218,sell_threshold,50000.0,50000.0,0.0,0.0
Bank of Maharashtra ,2006-09-11,2006-10-06,25,sell_threshold,50000.0,64285.745067231146,14285.745067231146,0.28571490134462296
Tamilnadu Petroproducts Limited,2006-09-15,2006-10-10,25,sell_threshold,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
Hindalco Industries Limited,2006-06-13,2006-10-18,127,sell_threshold,50000.0,62877.26305784212,12877.263057842123,0.2575452611568425
IFCI Limited ,2006-03-21,2006-10-23,216,sell_threshold,50000.0,67692.29286873966,17692.292868739663,0.35384585737479335
Reliance Industries Limited ,2003-12-17,2006-10-30,1048,sell_threshold,50000.0,122686.20143951071,72686.20143951071,1.453724028790214
BPL Limited ,2006-10-04,2006-11-24,51,sell_threshold,50000.0,50000.0,0.0,0.0
Bayer CropScience Limited,2006-08-22,2006-12-05,105,sell_threshold,50000.0,87596.58851081792,37596.58851081792,0.7519317702163584
Birla Cable Limited ,2006-12-12,2006-12-19,7,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Adani Enterprises Limited,2004-08-23,2008-01-02,1227,sell_threshold,50000.0,1143468.1776815115,1093468.1776815115,21.86936355363023
National Fertilizers Limited,2006-01-18,2008-01-02,714,sell_threshold,50000.0,111492.19492403917,61492.19492403917,1.2298438984807833
GAIL (India) Limited ,2006-05-22,2008-01-02,590,sell_threshold,50000.0,113170.21986010249,63170.21986010249,1.26340439720205
Piramal Enterprises Limited,2006-06-06,2008-01-02,575,sell_threshold,50000.0,97238.67858089277,47238.67858089277,0.9447735716178554
Kanoria Chemicals & Industries Limited ,2006-06-08,2008-01-02,573,sell_threshold,50000.0,52626.55449143371,2626.554491433708,0.05253108982867416
The Federal Bank Limited ,2006-06-26,2008-01-02,555,sell_threshold,50000.0,113306.41146663412,63306.41146663412,1.2661282293326823
Steel Authority of India Limited ,2006-07-28,2008-01-02,523,sell_threshold,50000.0,195836.24799537216,145836.24799537216,2.916724959907443
Cinevista Limited ,2006-10-05,2008-01-02,454,sell_threshold,50000.0,50000.0,0.0,0.0
Tamilnadu Petroproducts Limited,2006-11-01,2008-01-02,427,sell_threshold,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
MIRC Electronics Limited ,2006-11-08,2008-01-02,420,sell_threshold,50000.0,50000.0,0.0,0.0
Gujarat Narmada Valley Fertilizers & Chemicals Limited ,2006-11-20,2008-01-02,408,sell_threshold,50000.0,121239.60474841874,71239.60474841874,1.424792094968375
The Great Eastern Shipping Company Limited,2006-12-01,2008-01-02,397,sell_threshold,50000.0,125507.36846314133,75507.36846314133,1.5101473692628269
PTC India Limited ,2006-12-08,2008-01-02,390,sell_threshold,50000.0,163685.2394916911,113685.23949169111,2.2737047898338223
The Shipping Corporation of India Limited ,2006-12-15,2008-01-02,383,sell_threshold,50000.0,100094.45888077434,50094.45888077434,1.001889177615487
Balkrishna Industries Limited,2006-07-19,2008-01-11,541,sell_threshold,50000.0,79629.07026511146,29629.070265111455,0.5925814053022291
Summit Securities Limited,2006-02-07,2008-01-17,709,sell_threshold,50000.0,22742.62203303979,-27257.37796696021,-0.5451475593392042
Sterlite Technologies Limited,2008-01-22,2008-01-23,1,sell_threshold,50000.0,70940.20533650293,20940.205336502928,0.4188041067300585
Akzo Nobel India Limited,2008-01-28,2008-03-28,60,sell_threshold,50000.0,61489.16096402753,11489.160964027527,0.22978321928055045
HT Media Limited ,2008-03-24,2008-03-31,7,sell_threshold,50000.0,66224.52399766132,16224.523997661323,0.32449047995322644
Tata Chemicals Limited,2008-03-24,2008-04-10,17,sell_threshold,50000.0,62165.54677391959,12165.546773919588,0.24331093547839178
Rashtriya Chemicals and Fertilizers Limited ,2008-03-24,2008-04-11,18,sell_threshold,50000.0,64388.90983470529,14388.909834705293,0.28777819669410576
Bayer CropScience Limited,2008-03-24,2008-04-16,23,sell_threshold,50000.0,63589.12033439105,13589.120334391053,0.27178240668782117
BPL Limited ,2008-03-17,2008-04-30,44,sell_threshold,50000.0,50000.0,0.0,0.0
Dhanlaxmi Bank Limited,2008-04-15,2008-05-05,20,sell_threshold,50000.0,50000.0,0.0,0.0
Union Bank of India ,2008-03-07,2008-05-07,61,sell_threshold,50000.0,61181.66000609492,11181.66000609492,0.22363320012189836
CESC Limited ,2008-03-24,2008-05-30,67,sell_threshold,50000.0,69233.62252773062,19233.622527730622,0.3846724505546124
Uflex Limited,2008-07-02,2008-07-23,21,sell_threshold,50000.0,63945.58077372713,13945.580773727132,0.2789116154745426
PNB Gilts Ltd.,2008-06-24,2008-07-29,35,sell_threshold,50000.0,50000.0,0.0,0.0
Reliance Industrial Infrastructure Limited ,2008-07-01,2008-07-30,29,sell_threshold,50000.0,62241.96498562842,12241.964985628423,0.24483929971256857
LIC Housing Finance Limited ,2008-07-01,2008-07-31,30,sell_threshold,50000.0,63377.10482311017,13377.104823110167,0.2675420964622033
Bayer CropScience Limited,2008-06-30,2008-08-07,38,sell_threshold,50000.0,66707.41742624056,16707.417426240558,0.3341483485248111
Asian Paints Limited ,2008-07-03,2008-08-12,40,sell_threshold,50000.0,61179.30736365145,11179.307363651453,0.22358614727302895
EIH Limited ,2008-06-23,2008-08-22,60,sell_threshold,50000.0,66523.79419033257,16523.79419033257,0.3304758838066515
