stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Lupin Limited,2001-07-02,2001-09-10,70,sell_threshold,50000.0,50000.0,0.0,0.0
Kotak Mahindra Bank Limited,2001-09-14,2001-11-15,62,sell_threshold,50000.0,50000.0,0.0,0.0
Sri Havisha Hospitality and Infrastructure Limited,2001-11-13,2001-11-26,13,sell_threshold,50000.0,50000.0,0.0,0.0
Shree Rama Multi-Tech Limited ,2001-07-02,2001-12-05,156,sell_threshold,50000.0,73245.61403508772,23245.614035087725,0.4649122807017545
Bharat Petroleum Corporation Limited ,2001-09-12,2001-12-07,86,sell_threshold,50000.0,75760.7555089192,25760.755508919203,0.515215110178384
Hindustan Petroleum Corporation Limited ,2001-07-31,2002-02-05,189,sell_threshold,50000.0,70433.88103794062,20433.88103794062,0.4086776207588123
Hindustan Zinc Limited,2001-07-02,2002-02-06,219,sell_threshold,50000.0,73947.35498143398,23947.35498143398,0.47894709962867954
Ingersoll-Rand (India) Limited ,2001-07-02,2002-02-14,227,sell_threshold,50000.0,87002.65208565255,37002.652085652546,0.7400530417130509
Gujarat Mineral Development Corporation Limited ,2001-09-14,2002-02-14,153,sell_threshold,50000.0,74864.86486486488,24864.86486486488,0.49729729729729755
The Karur Vysya Bank Limited ,2001-07-04,2002-02-18,229,sell_threshold,50000.0,73143.8663073464,23143.866307346398,0.4628773261469279
Apollo Hospitals Enterprise Limited ,2001-07-02,2002-02-22,235,sell_threshold,50000.0,80467.7760312212,30467.776031221205,0.6093555206244241
Mangalore Refinery and Petrochemicals Limited,2001-07-19,2002-02-25,221,sell_threshold,50000.0,71250.0078645865,21250.0078645865,0.4250001572917299
Sundram Fasteners Limited ,2001-07-02,2002-03-08,249,sell_threshold,50000.0,70524.2509189113,20524.250918911304,0.41048501837822604
Danlaw Technologies India Limited,2001-07-02,2002-04-15,287,sell_threshold,50000.0,50000.0,0.0,0.0
Carborundum Universal Limited ,2001-07-18,2002-05-07,293,sell_threshold,50000.0,75183.83627072292,25183.836270722924,0.5036767254144585
Tata Chemicals Limited,2001-07-11,2002-05-31,324,sell_threshold,50000.0,61388.91494527902,11388.914945279023,0.22777829890558055
Aditya Birla Real Estate Limited,2001-07-02,2002-06-05,338,sell_threshold,50000.0,70202.97708669366,20202.97708669366,0.40405954173387326
Siemens Limited ,2001-07-20,2002-06-13,328,sell_threshold,50000.0,81670.41816502408,31670.41816502408,0.6334083633004817
JSW Steel Limited,2001-07-02,2002-06-17,350,sell_threshold,50000.0,84545.0403763141,34545.04037631409,0.6909008075262819
Sri Havisha Hospitality and Infrastructure Limited,2002-03-12,2002-06-19,99,sell_threshold,50000.0,50000.0,0.0,0.0
United Spirits Limited ,2002-05-21,2002-07-09,49,sell_threshold,50000.0,73325.41157546041,23325.411575460414,0.46650823150920817
Sri Havisha Hospitality and Infrastructure Limited,2002-09-06,2002-11-20,75,sell_threshold,50000.0,50000.0,0.0,0.0
JSW Steel Limited,2002-09-27,2002-11-26,60,sell_threshold,50000.0,73333.46243722324,23333.462437223236,0.4666692487444648
Danlaw Technologies India Limited,2002-07-24,2002-11-28,127,sell_threshold,50000.0,50000.0,0.0,0.0
Titan Company Limited,2002-10-21,2002-11-29,39,sell_threshold,50000.0,71023.96561267557,21023.965612675573,0.42047931225351154
National Fertilizers Limited,2002-11-07,2002-12-06,29,sell_threshold,50000.0,73451.32663544112,23451.326635441117,0.46902653270882233
Hindustan Petroleum Corporation Limited ,2002-09-09,2002-12-27,109,sell_threshold,50000.0,75701.86539319866,25701.865393198663,0.5140373078639733
IDBI Bank Limited ,2002-10-24,2003-01-20,88,sell_threshold,50000.0,74839.77553354969,24839.77553354969,0.4967955106709938
Steel Authority of India Limited ,2002-10-04,2003-01-21,109,sell_threshold,50000.0,87109.39391463296,37109.393914632965,0.7421878782926592
Aditya Birla Real Estate Limited,2002-10-17,2003-05-13,208,sell_threshold,50000.0,75557.02047221025,25557.02047221025,0.5111404094442049
