stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
JSW Steel Limited,2001-12-27,2002-06-04,159,sell_threshold,50000.0,110696.1614492668,60696.1614492668,1.213923228985336
Sri Havisha Hospitality and Infrastructure Limited,2002-04-24,2002-07-03,70,sell_threshold,50000.0,50000.0,0.0,0.0
Sri Havisha Hospitality and Infrastructure Limited,2002-10-03,2002-11-21,49,sell_threshold,50000.0,50000.0,0.0,0.0
Sterlite Technologies Limited,2003-04-30,2003-06-24,55,sell_threshold,50000.0,90701.8474775484,40701.84747754841,0.8140369495509681
Danlaw Technologies India Limited,2003-03-26,2003-06-30,96,sell_threshold,50000.0,50000.0,0.0,0.0
Bharti Airtel Limited,2002-11-08,2003-07-31,265,sell_threshold,50000.0,101506.02409638553,51506.02409638553,1.0301204819277108
Birla Cable Limited ,2003-03-12,2003-08-18,159,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Lupin Limited,2002-05-20,2003-08-22,459,sell_threshold,50000.0,194463.3183167571,144463.3183167571,2.889266366335142
Cinevista Limited ,2003-03-10,2003-12-18,283,sell_threshold,50000.0,50000.0,0.0,0.0
BPL Limited ,2003-03-13,2004-01-12,305,sell_threshold,50000.0,50000.0,0.0,0.0
Bosch Limited,2001-12-27,2004-03-11,805,sell_threshold,50000.0,316800.121062531,266800.121062531,5.336002421250621
ADC India Communications Limited,2003-03-04,2004-04-28,421,sell_threshold,50000.0,50000.0,0.0,0.0
Asahi India Glass Limited,2002-05-30,2004-05-13,714,sell_threshold,50000.0,188649.59497312436,138649.59497312436,2.7729918994624874
IndusInd Bank Limited ,2001-12-27,2004-05-31,886,sell_threshold,50000.0,330204.7413793103,280204.7413793103,5.604094827586207
Mukand Limited,2004-03-29,2004-05-31,63,sell_threshold,50000.0,50000.0,0.0,0.0
IDBI Bank Limited ,2004-06-23,2004-07-22,29,sell_threshold,50000.0,103802.58530689862,53802.58530689862,1.0760517061379722
NMDC Limited,2004-06-23,2004-09-16,85,sell_threshold,50000.0,109743.62814983712,59743.628149837125,1.1948725629967423
Tata Steel Limited,2004-06-14,2004-12-27,196,sell_threshold,50000.0,102798.7821135851,52798.7821135851,1.0559756422717022
IFCI Limited ,2004-05-17,2004-12-28,225,sell_threshold,50000.0,112587.45699688824,62587.45699688824,1.2517491399377647
Gillette India Limited,2001-12-27,2006-01-02,1467,sell_threshold,50000.0,150597.8923962141,100597.8923962141,2.011957847924282
ICICI Bank Limited ,2001-12-27,2006-01-02,1467,sell_threshold,50000.0,350740.78020729666,300740.78020729666,6.014815604145933
Pfizer Limited ,2003-02-26,2006-01-02,1041,sell_threshold,50000.0,180689.55209311974,130689.55209311974,2.613791041862395
Infosys Limited ,2003-04-10,2006-01-02,998,sell_threshold,50000.0,201051.56386230167,151051.56386230167,3.021031277246033
Oracle Financial Services Software Limited,2004-05-17,2006-01-02,595,sell_threshold,50000.0,131796.47017431716,81796.47017431716,1.6359294034863434
Havells India Limited ,2004-05-06,2006-01-03,607,sell_threshold,50000.0,166236.52097047272,116236.52097047272,2.3247304194094545
The India Cements Limited ,2004-06-28,2006-01-04,555,sell_threshold,50000.0,187583.1567682742,137583.1567682742,2.751663135365484
Britannia Industries Limited ,2002-05-30,2006-01-09,1320,sell_threshold,50000.0,127048.87560183535,77048.87560183535,1.540977512036707
HCL Technologies Limited ,2002-07-30,2006-01-12,1262,sell_threshold,50000.0,188170.02526147667,138170.02526147667,2.763400505229533
Titan Company Limited,2003-08-07,2006-01-25,902,sell_threshold,50000.0,530642.6896125013,480642.6896125013,9.612853792250027
TVS Motor Company Limited,2004-07-07,2006-04-03,635,sell_threshold,50000.0,123121.96762581544,73121.96762581544,1.4624393525163089
The Karur Vysya Bank Limited ,2002-10-18,2006-05-15,1305,sell_threshold,50000.0,270918.88279270736,220918.88279270736,4.418377655854147
Bank of Maharashtra ,2006-06-08,2006-10-17,131,sell_threshold,50000.0,102419.36793099616,52419.36793099616,1.048387358619923
Divi's Laboratories Limited ,2006-06-08,2006-10-20,134,sell_threshold,50000.0,100737.18320463784,50737.18320463784,1.014743664092757
Aptech Limited ,2006-06-08,2006-10-23,137,sell_threshold,50000.0,50000.0,0.0,0.0
GE Power India Limited,2006-06-08,2006-10-30,144,sell_threshold,50000.0,110843.1883346115,60843.18833461151,1.2168637666922302
