stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Adani Enterprises Limited,2004-07-28,2008-01-02,1253,sell_threshold,50000.0,1032541.0609991471,982541.0609991471,19.65082121998294
Ajmera Realty & Infra India Limited,2008-11-25,2009-10-21,330,sell_threshold,50000.0,196425.4700560433,146425.4700560433,2.928509401120866
Havells India Limited ,2008-12-02,2011-01-03,762,sell_threshold,50000.0,401399.8534642128,351399.8534642128,7.027997069284256
Indian Infotech and Software Limited,2013-03-26,2013-09-12,170,sell_threshold,50000.0,50000.0,0.0,0.0
Trigyn Technologies Limited,2001-09-28,2014-02-24,4532,sell_threshold,50000.0,171567.9190751445,121567.91907514451,2.43135838150289
Shree Rama Multi-Tech Limited ,2006-06-13,2014-05-27,2905,sell_threshold,50000.0,50000.0,0.0,0.0
Rollatainers Limited,2013-10-23,2015-01-15,449,sell_threshold,50000.0,52836.05451745416,2836.054517454162,0.05672109034908335
Precot Limited ,2008-10-28,2016-11-01,2926,sell_threshold,50000.0,50000.0,0.0,0.0
Handson Global Management (HGM) Limited ,2015-05-22,2017-05-29,738,sell_threshold,50000.0,50000.0,0.0,0.0
Adani Enterprises Limited,2015-06-03,2021-02-04,2073,sell_threshold,50000.0,268792.7035820472,218792.7035820472,4.375854071640944
Jindal Photo Limited ,2019-05-30,2021-03-19,659,sell_threshold,50000.0,50000.0,0.0,0.0
MMTC Limited,2013-07-03,2021-10-27,3038,sell_threshold,50000.0,37669.875424688566,-12330.124575311434,-0.2466024915062287
Indian Infotech and Software Limited,2015-01-01,2021-12-27,2552,sell_threshold,50000.0,50000.0,0.0,0.0
JCT Limited,2020-08-17,2022-01-11,512,sell_threshold,50000.0,50000.0,0.0,0.0
Cressanda Railway Solutions Limited,2015-07-22,2022-03-21,2434,sell_threshold,50000.0,59236.54932465505,9236.549324655047,0.18473098649310105
Rollatainers Limited,2017-06-27,2023-06-19,2183,sell_threshold,50000.0,50000.0,0.0,0.0
Vakrangee Limited,2018-05-18,2023-10-17,1978,sell_threshold,50000.0,21033.513569819446,-28966.486430180554,-0.5793297286036111
LCC Infotech Limited,2001-09-28,2024-05-22,8272,sell_threshold,50000.0,50000.0,0.0,0.0
Precot Limited ,2018-05-21,2024-06-26,2228,sell_threshold,50000.0,50000.0,0.0,0.0
KEC International Limited ,2008-10-31,2024-12-04,5878,sell_threshold,50000.0,2959628.274513248,2909628.274513248,58.19256549026496
Simplex Infrastructures Limited,2008-10-27,2024-12-13,5891,sell_threshold,50000.0,60293.51221499754,10293.512214997543,0.20587024429995093
