stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Mphasis Limited,2001-04-12,2002-04-08,361,holding_period,50000.0,167757.16297172,117757.16297172001,2.3551432594344
Reliance Industries Limited ,2001-04-30,2002-04-25,360,holding_period,50000.0,41897.81087223033,-8102.18912776967,-0.16204378255539342
Trigyn Technologies Limited,2001-04-30,2002-04-25,360,holding_period,50000.0,63502.88831835687,13502.888318356869,0.2700577663671373
Archies Limited ,2001-07-02,2002-06-27,360,holding_period,50000.0,44982.86316899552,-5017.136831004478,-0.10034273662008952
CyberTech Systems and Software Limited ,2001-07-02,2002-06-27,360,holding_period,50000.0,76602.90300874748,26602.903008747482,0.5320580601749496
LCC Infotech Limited,2001-08-24,2002-08-19,360,holding_period,50000.0,50000.0,0.0,0.0
Lupin Limited,2002-05-20,2003-05-15,360,holding_period,50000.0,72465.8731859686,22465.873185968594,0.449317463719372
Asahi India Glass Limited,2002-05-30,2003-05-26,361,holding_period,50000.0,72549.01960784313,22549.019607843133,0.4509803921568627
Balaji Telefilms Limited ,2002-09-25,2003-09-22,362,holding_period,50000.0,31926.44510369741,-18073.55489630259,-0.3614710979260518
Sundram Fasteners Limited ,2004-01-23,2006-01-02,710,holding_period,50000.0,71757.85439231858,21757.85439231858,0.4351570878463715
Adani Enterprises Limited,2004-07-28,2006-01-02,523,holding_period,50000.0,44694.607268076405,-5305.392731923595,-0.10610785463847194
Jagsonpal Pharmaceuticals Limited ,2004-08-02,2006-01-02,518,holding_period,50000.0,52154.21874065658,2154.218740656579,0.04308437481313154
Carborundum Universal Limited ,2004-08-17,2006-01-02,503,holding_period,50000.0,201658.80912143056,151658.80912143056,3.033176182428611
Summit Securities Limited,2006-02-07,2008-01-02,694,holding_period,50000.0,22742.62203303979,-27257.37796696021,-0.5451475593392042
K.C.P. Sugar and Industries Corporation Limited,2006-03-08,2008-01-02,665,holding_period,50000.0,25478.643535909305,-24521.356464090695,-0.49042712928181387
Noida Toll Bridge Company Limited ,2006-04-17,2008-01-02,625,holding_period,50000.0,116769.27465174186,66769.27465174186,1.335385493034837
Entertainment Network (India) Limited ,2006-05-30,2008-01-02,582,holding_period,50000.0,145511.39008167677,95511.39008167677,1.9102278016335354
Nectar Lifesciences Limited ,2006-06-07,2008-01-02,574,holding_period,50000.0,50000.0,0.0,0.0
Manugraph India Limited,2006-06-08,2008-01-02,573,holding_period,50000.0,43719.00882564139,-6280.991174358613,-0.12561982348717227
