stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Hindustan Petroleum Corporation Limited ,2001-10-04,2002-02-27,146,sell_threshold,50000.0,123967.66471873799,73967.66471873799,1.4793532943747598
Hindustan Zinc Limited,2001-09-28,2002-06-04,249,sell_threshold,50000.0,124104.3593293719,74104.3593293719,1.4820871865874379
Aditya Birla Real Estate Limited,2001-09-28,2002-06-14,259,sell_threshold,50000.0,127788.4333185901,77788.4333185901,1.5557686663718022
JSW Steel Limited,2001-09-28,2003-06-24,634,sell_threshold,50000.0,187706.78213726214,137706.78213726214,2.7541356427452426
Jindal Steel Limited ,2001-09-28,2003-07-02,642,sell_threshold,50000.0,190983.1445878325,140983.1445878325,2.81966289175665
Apollo Hospitals Enterprise Limited ,2001-09-28,2003-07-08,648,sell_threshold,50000.0,106563.92383234402,56563.92383234402,1.1312784766468806
Bharat Heavy Electricals Limited,2001-09-28,2003-09-23,725,sell_threshold,50000.0,159661.27326257946,109661.27326257946,2.1932254652515892
Bharti Airtel Limited,2002-09-02,2003-09-30,393,sell_threshold,50000.0,121276.59574468085,71276.59574468085,1.4255319148936167
Kotak Mahindra Bank Limited,2002-10-24,2003-10-13,354,sell_threshold,50000.0,133988.03191174276,83988.03191174276,1.679760638234855
Piramal Enterprises Limited,2001-09-28,2003-12-04,797,sell_threshold,50000.0,168178.59390500165,118178.59390500165,2.363571878100033
Sterlite Technologies Limited,2003-03-07,2003-12-09,277,sell_threshold,50000.0,93073.649618179,43073.649618179,0.86147299236358
Havells India Limited ,2003-05-02,2003-12-19,231,sell_threshold,50000.0,132445.1716470818,82445.17164708179,1.6489034329416357
Hindustan Petroleum Corporation Limited ,2002-09-30,2004-01-02,459,sell_threshold,50000.0,136231.89252163345,86231.89252163345,1.7246378504326692
Bosch Limited,2001-09-28,2004-03-11,895,sell_threshold,50000.0,407999.92524681904,357999.92524681904,7.159998504936381
IndusInd Bank Limited ,2001-09-28,2004-05-31,976,sell_threshold,50000.0,340261.7385786802,290261.7385786802,5.805234771573604
Mukand Limited,2004-03-29,2004-05-31,63,sell_threshold,50000.0,50000.0,0.0,0.0
Hindustan Zinc Limited,2002-07-24,2004-06-14,691,sell_threshold,50000.0,197044.26749364613,147044.26749364613,2.9408853498729224
Zee Entertainment Enterprises Limited ,2001-09-28,2004-07-29,1035,sell_threshold,50000.0,82622.47305490792,32622.473054907925,0.6524494610981586
Axis Bank Limited,2001-09-28,2004-10-06,1104,sell_threshold,50000.0,496292.46583928796,446292.46583928796,8.92584931678576
United Breweries Limited,2004-05-31,2004-11-04,157,sell_threshold,50000.0,50000.0,0.0,0.0
IDBI Bank Limited ,2004-05-17,2004-11-08,175,sell_threshold,50000.0,134976.8579163392,84976.85791633921,1.6995371583267844
NMDC Limited,2004-06-15,2004-11-16,154,sell_threshold,50000.0,133695.680066746,83695.68006674599,1.6739136013349198
ADC India Communications Limited,2001-09-28,2006-01-02,1557,sell_threshold,50000.0,50000.0,0.0,0.0
BPL Limited ,2001-09-28,2006-01-02,1557,sell_threshold,50000.0,57565.17882078493,7565.178820784931,0.1513035764156987
Danlaw Technologies India Limited,2001-09-28,2006-01-02,1557,sell_threshold,50000.0,50000.0,0.0,0.0
ICICI Bank Limited ,2001-09-28,2006-01-02,1557,sell_threshold,50000.0,392810.10036180547,342810.10036180547,6.856202007236109
Tata Consumer Products Limited ,2001-09-28,2006-01-02,1557,sell_threshold,50000.0,365005.7848264415,315005.7848264415,6.30011569652883
