stock,entry_date,exit_date,holding_days,invested,exit_value,pnl,return_pct
Anand Projects Limited,2011-07-04,2012-01-02,182,100000.0,100000.0,0.0,0.0
Bajaj Consumer Care Limited,2011-07-04,2012-01-02,182,100000.0,84693.8775510204,-15306.1224489796,-0.15306122448979598
Borosil Renewables Limited,2011-07-04,2012-01-02,182,100000.0,107957.74769040206,7957.747690402059,0.0795774769040205
Cantabil Retail India Limited ,2011-07-04,2012-01-02,182,100000.0,45204.71325229324,-54795.28674770676,-0.5479528674770676
Dynacons Systems & Solutions Limited,2011-07-04,2012-01-02,182,100000.0,71325.71996027805,-28674.280039721954,-0.28674280039721955
Eastern Treads Limited,2011-07-04,2012-01-02,182,100000.0,107582.26037195994,7582.260371959943,0.07582260371959948
Hindustan Media Ventures Limited,2011-07-04,2012-01-02,182,100000.0,81111.1111111111,-18888.888888888905,-0.1888888888888891
Krishna Ventures Limited,2011-07-04,2012-01-02,182,100000.0,443001.04762672255,343001.04762672255,3.430010476267226
Maruti Infrastructure Limited,2011-07-04,2012-01-02,182,100000.0,111507.86636026163,11507.866360261629,0.1150786636026162
PTL Enterprises Limited,2011-07-04,2012-01-02,182,100000.0,110535.37511870847,10535.37511870847,0.10535375118708479
Piramal Enterprises Limited,2011-07-04,2012-01-02,182,100000.0,94610.99353581996,-5389.006464180042,-0.05389006464180046
Ravi Kumar Distilleries Limited,2011-07-04,2012-01-02,182,100000.0,72828.50779510022,-27171.492204899783,-0.27171492204899783
Suryalata Spinning Mills Limited,2011-07-04,2012-01-02,182,100000.0,49788.014208777364,-50211.985791222636,-0.5021198579122264
The Bombay Dyeing and Manufacturing Company Limited ,2011-07-04,2012-01-02,182,100000.0,93324.32490315604,-6675.675096843959,-0.06675675096843958
The Tinplate Company of India Limited,2011-07-04,2012-01-02,182,100000.0,55583.386145992234,-44416.613854007766,-0.4441661385400777
Transcorp International Limited,2011-07-04,2012-01-02,182,100000.0,63151.23821957488,-36848.76178042512,-0.3684876178042512
Uniphos Enterprises Limited,2011-07-04,2012-01-02,182,100000.0,82472.91268323774,-17527.087316762263,-0.17527087316762258
Velan Hotels Limited,2011-07-04,2012-01-02,182,100000.0,91740.25578562729,-8259.74421437271,-0.0825974421437271
Vishnu Chemicals Limited,2011-07-04,2012-01-02,182,100000.0,65179.767967224405,-34820.232032775595,-0.348202320327756
Kalyani Investment Company Limited ,2011-07-19,2012-01-16,181,100000.0,63237.19020104103,-36762.80979895897,-0.36762809798958973
DMCC Speciality Chemicals Limited,2011-08-01,2012-01-30,182,100000.0,81097.48932670087,-18902.510673299126,-0.18902510673299122
SJ Corporation Limited,2011-08-01,2012-01-30,182,100000.0,95733.59174480122,-4266.408255198781,-0.042664082551987836
Orient Green Power Company Limited ,2011-08-04,2012-01-31,180,100000.0,113253.03685755812,13253.036857558123,0.1325303685755812
Inter Globe Finance Limited,2011-08-05,2012-02-01,180,100000.0,72883.19492551016,-27116.805074489836,-0.27116805074489836
Jindal Poly Films Limited,2011-08-08,2012-02-06,182,100000.0,90934.26893776895,-9065.731062231047,-0.09065731062231042
Tata Motors Limited,2011-08-08,2012-02-06,182,100000.0,149239.08599740858,49239.085997408576,0.4923908599740858
Yunik Managing Advisors Limited,2011-08-08,2012-02-06,182,100000.0,140981.68800771033,40981.68800771033,0.4098168800771034
Aeroflex Enterprises Limited,2011-08-09,2012-02-06,181,100000.0,120399.63966915078,20399.639669150783,0.20399639669150793
Nouveau Global Ventures Limited,2011-08-12,2012-02-08,180,100000.0,78591.98922097012,-21408.01077902988,-0.21408010779029873
Westlife Foodworld Limited,2011-08-12,2012-02-08,180,100000.0,100000.0,0.0,0.0
Pioneer Embroideries Limited,2011-08-19,2012-02-15,180,100000.0,108782.0177731312,8782.0177731312,0.0878201777313119
Triveni Engineering & Industries Limited ,2011-08-19,2012-02-15,180,100000.0,90772.82906021722,-9227.17093978278,-0.0922717093978278
Diamant Infrastructure Limited,2011-08-22,2012-02-20,182,100000.0,58449.67300112303,-41550.32699887697,-0.41550326998876963
Bhilwara Spinners Limited,2011-08-25,2012-02-21,180,100000.0,68768.04619826756,-31231.953801732438,-0.31231953801732437
Kanani Industries Limited,2011-08-26,2012-02-22,180,100000.0,143136.3376474869,43136.337647486886,0.4313633764748688
A2Z Infra Engineering Limited,2011-08-29,2012-02-27,182,100000.0,64010.098517492086,-35989.901482507914,-0.35989901482507913
Premier Energy and Infrastructure Limited,2011-08-29,2012-02-27,182,100000.0,300588.1006864988,200588.1006864988,2.005881006864988
Avance Technologies Limited,2011-08-30,2012-02-27,181,100000.0,6611.431594977223,-93388.56840502277,-0.9338856840502278
Maharashtra Corporation Limited,2011-08-30,2012-02-27,181,100000.0,421969.9392388871,321969.9392388871,3.219699392388871
Transgene Biotek Limited,2011-09-05,2012-03-05,182,100000.0,100627.42203358554,627.4220335855352,0.006274220335855452
V2 Retail Limited ,2011-09-05,2012-03-05,182,100000.0,70518.13379342238,-29481.866206577615,-0.2948186620657761
Visagar Financial Services Limited,2011-09-07,2012-03-05,180,100000.0,107836.0698009451,7836.069800945101,0.07836069800945111
Tilak Ventures Limited,2011-09-13,2012-03-12,181,100000.0,94879.51807228917,-5120.481927710833,-0.05120481927710829
Candour Techtex Limited,2011-09-16,2012-03-14,180,100000.0,99460.70878274267,-539.2912172573269,-0.0053929121725733165
Choice International Limited,2011-09-20,2012-03-19,181,100000.0,58455.90758320943,-41544.09241679057,-0.4154409241679057
Empower India Limited,2011-09-22,2012-03-20,180,100000.0,14902.924819336926,-85097.07518066307,-0.8509707518066307
MPS Infotecnics Limited ,2011-09-28,2012-03-26,180,100000.0,96771.25506072874,-3228.7449392712588,-0.03228744939271255
Sky Industries Limited,2011-10-11,2012-04-09,181,100000.0,68079.09604519774,-31920.903954802256,-0.3192090395480226
Yogi Limited,2011-10-26,2012-04-23,180,100000.0,124192.08698278465,24192.086982784647,0.24192086982784655
Capricorn Systems Global Solutions Limited,2011-11-02,2012-04-30,180,100000.0,91501.5015015015,-8498.498498498506,-0.08498498498498508
Orient Ceratech Limited,2011-11-11,2012-05-09,180,100000.0,54474.55378050685,-45525.44621949315,-0.4552544621949315
Bedmutha Industries Limited ,2011-11-23,2012-05-21,180,100000.0,28527.395595313334,-71472.60440468666,-0.7147260440468667
Moongipa Capital Finance Limited,2011-11-25,2012-05-23,180,100000.0,61186.37861589163,-38813.62138410837,-0.38813621384108377
Vertex Securities Limited,2011-12-01,2012-05-29,180,100000.0,32032.721924418667,-67967.27807558133,-0.6796727807558134
RTCL Limited,2011-12-13,2012-06-11,181,100000.0,92672.41379310345,-7327.586206896551,-0.07327586206896552
ARSS Infrastructure Projects Limited,2011-12-16,2012-06-13,180,100000.0,38431.64331183538,-61568.35668816462,-0.6156835668816462
Indus Finance Limited,2011-12-19,2012-06-18,182,100000.0,112475.42685485829,12475.426854858291,0.12475426854858296
Garware Hi-Tech Films Limited,2011-12-22,2012-06-19,180,100000.0,110108.03935011193,10108.039350111925,0.1010803935011193
Everest Kanto Cylinder Limited ,2011-12-30,2012-06-27,180,100000.0,121146.10728526165,21146.10728526165,0.2114610728526165
M.K. Exim (India) Limited,2012-01-02,2012-07-02,182,100000.0,88479.33374460209,-11520.666255397911,-0.11520666255397916
Taaza International Limited,2012-01-09,2012-07-09,182,100000.0,65256.81288623241,-34743.18711376759,-0.34743187113767593
Rajnish Retail Limited,2012-01-12,2012-07-10,180,100000.0,62190.812720848066,-37809.187279151934,-0.37809187279151935
Cistro Telelink Limited,2012-01-13,2012-07-11,180,100000.0,357977.38693467336,257977.38693467336,2.5797738693467336
PFL Infotech Limited,2012-01-16,2012-07-16,182,100000.0,31635.393883580826,-68364.60611641918,-0.6836460611641917
Tridev Infraestates Limited,2012-01-24,2012-07-23,181,100000.0,72395.15632482726,-27604.843675172742,-0.2760484367517274
Parnax Lab Limited,2012-02-03,2012-08-01,180,100000.0,346443.8629876309,246443.86298763088,2.464438629876309
Avance Technologies Limited,2012-02-27,2012-08-27,182,100000.0,112502.43997657622,12502.439976576221,0.1250243997657623
Madhur Industries Limited,2012-02-28,2012-08-27,181,100000.0,100219.14806190932,219.14806190931995,0.0021914806190932445
Inani Securities Limited,2012-03-07,2012-09-03,180,100000.0,200715.09220925855,100715.09220925855,1.0071509220925856
Banas Finance Limited,2012-03-26,2012-09-24,182,100000.0,102180.68535825546,2180.6853582554613,0.02180685358255463
Nikki Global Finance Limited,2012-03-28,2012-09-24,180,100000.0,221037.4173257481,121037.4173257481,1.210374173257481
Refex Industries Limited,2012-03-29,2012-09-25,180,100000.0,82151.58924205379,-17848.410757946214,-0.1784841075794621
Incon Engineers Limited,2012-03-30,2012-09-26,180,100000.0,157765.15151515152,57765.15151515152,0.5776515151515151
Zuari Industries Limited ,2012-04-09,2012-10-08,182,100000.0,78463.98289625383,-21536.01710374617,-0.21536017103746175
The Tinplate Company of India Limited,2012-04-26,2012-10-23,180,100000.0,113725.58406740711,13725.584067407108,0.13725584067407115
Libord Finance Limited,2012-05-10,2012-11-06,180,100000.0,215000.00000000003,115000.00000000003,1.1500000000000004
Shree Karthik Papers Limited,2012-05-11,2012-11-07,180,100000.0,100000.0,0.0,0.0
Smartlink Holdings Limited ,2012-05-11,2012-11-07,180,100000.0,107180.6705578933,7180.670557893303,0.0718067055789331
Onelife Capital Advisors Limited,2012-05-14,2012-11-12,182,100000.0,301860.8459772185,201860.84597721847,2.0186084597721847
Urja Global Limited,2012-05-14,2012-11-12,182,100000.0,175136.47425076185,75136.47425076185,0.7513647425076184
Indo Thai Securities Limited,2012-05-15,2012-11-12,181,100000.0,109126.98412698413,9126.984126984127,0.09126984126984117
Diamant Infrastructure Limited,2012-05-17,2012-11-13,180,100000.0,68449.75577369943,-31550.244226300565,-0.3155024422630056
Kilitch Drugs (India) Limited,2012-05-18,2012-11-14,180,100000.0,85912.13739658603,-14087.862603413974,-0.1408786260341397
Force Motors Limited,2012-05-21,2012-11-19,182,100000.0,101098.7953507693,1098.7953507693019,0.010987953507693105
Wockhardt Limited ,2012-05-22,2012-11-19,181,100000.0,238048.90102968787,138048.90102968787,1.3804890102968788
Duncan Engineering Limited,2012-05-25,2012-11-21,180,100000.0,102024.1879498703,2024.1879498703056,0.020241879498703153
RDB Rasayans Limited,2012-05-28,2012-11-26,182,100000.0,100227.51663447091,227.51663447091414,0.0022751663447091452
Dynamic Industries Limited,2012-05-30,2012-11-26,180,100000.0,92566.03773584907,-7433.962264150934,-0.0743396226415094
Shervani Industrial Syndicate Limited,2012-05-30,2012-11-26,180,100000.0,150681.50208623087,50681.502086230874,0.5068150208623088
Ayujoy Herbals Ltd. (OTCPK:AJOY),2012-05-31,2012-11-27,180,100000.0,278758.5969738652,178758.59697386518,1.7875859697386516
Ramky Infrastructure Limited ,2012-05-31,2012-11-27,180,100000.0,103186.98242364121,3186.9824236412096,0.03186982423641216
Vishnu Chemicals Limited,2012-05-31,2012-11-27,180,100000.0,111104.46921481067,11104.46921481067,0.11104469214810675
MakeMyTrip Limited (NASDAQGS:MMYT),2012-06-01,2012-11-28,180,100000.0,110067.65454472248,10067.654544722478,0.10067654544722471
