stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Shree Rama Multi-Tech Limited ,2004-12-13,2006-05-30,533,sell_threshold,50000.0,50000.0,0.0,0.0
Adani Enterprises Limited,2006-01-02,2008-01-02,730,sell_threshold,50000.0,1155106.985061988,1105106.985061988,22.10213970123976
Rashtriya Chemicals and Fertilizers Limited ,2008-11-19,2009-06-02,195,sell_threshold,50000.0,161726.0409631294,111726.0409631294,2.234520819262588
Dhanlaxmi Bank Limited,2008-10-27,2009-09-11,319,sell_threshold,50000.0,136080.2030916603,86080.20309166031,1.7216040618332062
MRF Limited ,2009-03-25,2009-09-24,183,sell_threshold,50000.0,173072.80359785559,123072.80359785559,2.461456071957112
IndusInd Bank Limited ,2008-10-27,2009-10-16,354,sell_threshold,50000.0,230841.79104477612,180841.79104477612,3.6168358208955222
NLC India Limited,2008-11-28,2009-11-11,348,sell_threshold,50000.0,161179.49086630196,111179.49086630196,2.2235898173260393
Sterlite Technologies Limited,2008-10-06,2009-12-24,444,sell_threshold,50000.0,180925.6688691293,130925.6688691293,2.6185133773825857
Coromandel International Limited ,2006-07-17,2011-01-03,1631,sell_threshold,50000.0,620302.9693679201,570302.9693679201,11.406059387358402
TVS Motor Company Limited,2008-01-18,2011-01-03,1081,sell_threshold,50000.0,119638.41093415003,69638.41093415003,1.3927682186830004
Hindalco Industries Limited,2008-09-25,2011-01-03,830,sell_threshold,50000.0,183657.8641841412,133657.8641841412,2.6731572836828237
Wockhardt Limited ,2008-10-06,2011-01-03,819,sell_threshold,50000.0,118147.0665756672,68147.0665756672,1.362941331513344
JSW Steel Limited,2008-10-07,2011-01-03,818,sell_threshold,50000.0,228830.53449462636,178830.53449462636,3.5766106898925276
Canara Bank ,2008-10-27,2011-01-03,798,sell_threshold,50000.0,225672.91311754685,175672.91311754685,3.5134582623509374
Titan Company Limited,2009-02-05,2011-01-03,697,sell_threshold,50000.0,234667.5014399408,184667.5014399408,3.6933500287988164
Cummins India Limited,2009-02-26,2011-01-03,676,sell_threshold,50000.0,249371.1705901322,199371.1705901322,3.987423411802644
IDBI Bank Limited ,2009-03-02,2011-01-03,672,sell_threshold,50000.0,246221.34060850425,196221.34060850425,3.9244268121700854
