stock,entry_date,exit_date,holding_days,invested,exit_value,pnl,return_pct
RDB Infrastructure and Power Limited,2011-04-25,2011-10-24,182,100000.0,61698.71794871795,-38301.28205128205,-0.3830128205128205
Bajaj Consumer Care Limited,2011-05-02,2011-10-31,182,100000.0,86279.95958108752,-13720.040418912482,-0.13720040418912482
The Tinplate Company of India Limited,2011-05-04,2011-10-31,180,100000.0,68797.64304182553,-31202.356958174467,-0.3120235695817447
Piramal Enterprises Limited,2011-05-06,2011-11-02,180,100000.0,79901.9841707447,-20098.015829255295,-0.200980158292553
PTL Enterprises Limited,2011-05-11,2011-11-07,180,100000.0,133388.6548793099,33388.65487930991,0.3338865487930991
Hindustan Media Ventures Limited,2011-05-16,2011-11-14,182,100000.0,88649.7156762887,-11350.284323711297,-0.11350284323711302
Systematix Corporate Services Limited,2011-05-16,2011-11-14,182,100000.0,48811.91979009705,-51188.08020990295,-0.5118808020990295
Uniphos Enterprises Limited,2011-05-16,2011-11-14,182,100000.0,94842.69273032213,-5157.307269677869,-0.05157307269677869
The Bombay Dyeing and Manufacturing Company Limited ,2011-05-24,2011-11-21,181,100000.0,104091.64977120957,4091.6497712095734,0.04091649771209571
Borosil Renewables Limited,2011-05-27,2011-11-23,180,100000.0,105880.36911066146,5880.369110661457,0.05880369110661454
Ravi Kumar Distilleries Limited,2011-05-30,2011-11-28,182,100000.0,50729.92700729927,-49270.07299270073,-0.4927007299270073
Lovable Lingerie Limited,2011-05-31,2011-11-28,181,100000.0,127871.75769292733,27871.757692927335,0.27871757692927335
Asit C. Mehta Financial Services Limited,2011-06-02,2011-11-29,180,100000.0,74273.63972530376,-25726.360274696242,-0.25726360274696247
Anand Projects Limited,2011-06-06,2011-12-05,182,100000.0,100000.0,0.0,0.0
Maruti Infrastructure Limited,2011-06-07,2011-12-05,181,100000.0,153140.0,53140.0,0.5314000000000001
Krishna Ventures Limited,2011-06-08,2011-12-05,180,100000.0,332570.2571111301,232570.2571111301,2.325702571111301
Kalyani Investment Company Limited ,2011-07-19,2012-01-16,181,100000.0,63237.19020104103,-36762.80979895897,-0.36762809798958973
Inter Globe Finance Limited,2011-08-05,2012-02-01,180,100000.0,72883.19492551016,-27116.805074489836,-0.27116805074489836
Westlife Foodworld Limited,2011-08-12,2012-02-08,180,100000.0,100000.0,0.0,0.0
Bhilwara Spinners Limited,2011-08-25,2012-02-21,180,100000.0,68768.04619826756,-31231.953801732438,-0.31231953801732437
Maharashtra Corporation Limited,2011-08-30,2012-02-27,181,100000.0,421969.9392388871,321969.9392388871,3.219699392388871
Transgene Biotek Limited,2011-09-05,2012-03-05,182,100000.0,100627.42203358554,627.4220335855352,0.006274220335855452
V2 Retail Limited ,2011-09-05,2012-03-05,182,100000.0,70518.13379342238,-29481.866206577615,-0.2948186620657761
Visagar Financial Services Limited,2011-09-07,2012-03-05,180,100000.0,107836.0698009451,7836.069800945101,0.07836069800945111
Tilak Ventures Limited,2011-09-21,2012-03-19,180,100000.0,113031.1614730878,13031.161473087806,0.13031161473087804
Avance Technologies Limited,2011-09-29,2012-03-27,180,100000.0,21505.809658136885,-78494.19034186311,-0.7849419034186311
Candour Techtex Limited,2011-09-30,2012-03-28,180,100000.0,114780.68757409202,14780.687574092022,0.14780687574092033
Empower India Limited,2011-10-05,2012-04-02,180,100000.0,23710.43625015321,-76289.5637498468,-0.7628956374984679
Sky Industries Limited,2011-10-18,2012-04-16,181,100000.0,82396.1746214469,-17603.825378553098,-0.17603825378553095
Capricorn Systems Global Solutions Limited,2011-11-02,2012-04-30,180,100000.0,91501.5015015015,-8498.498498498506,-0.08498498498498508
Kemistar Corporation Limited,2011-11-21,2012-05-21,182,100000.0,77634.69508584961,-22365.304914150387,-0.22365304914150386
Cistro Telelink Limited,2011-12-01,2012-05-29,180,100000.0,230983.30241187385,130983.30241187385,1.3098330241187384
PFL Infotech Limited,2011-12-20,2012-06-18,181,100000.0,11887.713298421859,-88112.28670157814,-0.8811228670157814
Vertex Securities Limited,2011-12-20,2012-06-18,181,100000.0,72912.11820487375,-27087.881795126246,-0.27087881795126245
The Tinplate Company of India Limited,2012-04-26,2012-10-23,180,100000.0,113725.58406740711,13725.584067407108,0.13725584067407115
Libord Finance Limited,2012-05-10,2012-11-06,180,100000.0,215000.00000000003,115000.00000000003,1.1500000000000004
Shree Karthik Papers Limited,2012-05-11,2012-11-07,180,100000.0,100000.0,0.0,0.0
Onelife Capital Advisors Limited,2012-05-14,2012-11-12,182,100000.0,301860.8459772185,201860.84597721847,2.0186084597721847
Force Motors Limited,2012-05-21,2012-11-19,182,100000.0,101098.7953507693,1098.7953507693019,0.010987953507693105
RDB Rasayans Limited,2012-05-28,2012-11-26,182,100000.0,100227.51663447091,227.51663447091414,0.0022751663447091452
Shervani Industrial Syndicate Limited,2012-05-30,2012-11-26,180,100000.0,150681.50208623087,50681.502086230874,0.5068150208623088
Nirlon Limited,2012-06-01,2012-11-28,180,100000.0,106449.64154392884,6449.641543928839,0.06449641543928841
Diamant Infrastructure Limited,2012-06-06,2012-12-03,180,100000.0,153060.14240266624,53060.14240266624,0.5306014240266623
Superior Industrial Enterprises Limited,2012-06-11,2012-12-10,182,100000.0,574418.6046511629,474418.60465116287,4.744186046511628
Brooks Laboratories Limited ,2012-06-14,2012-12-11,180,100000.0,139530.39694593818,39530.39694593818,0.39530396945938184
White Organic Agro Limited,2012-07-09,2013-01-07,182,100000.0,83392.41974990332,-16607.580250096682,-0.16607580250096687
Anand Projects Limited,2012-08-07,2013-02-04,181,100000.0,100000.0,0.0,0.0
Inventure Growth & Securities Limited ,2012-08-13,2013-02-11,182,100000.0,66442.95302013424,-33557.04697986576,-0.33557046979865757
Jainex Aamcol Limited,2012-08-14,2013-02-11,181,100000.0,109500.44603033006,9500.446030330058,0.09500446030330068
Pharmaids Pharmaceuticals Limited,2012-08-21,2013-02-18,181,100000.0,108319.73898858075,8319.73898858075,0.0831973898858076
Maruti Infrastructure Limited,2012-08-31,2013-02-27,180,100000.0,120255.39867109637,20255.398671096365,0.20255398671096358
Vivo Bio Tech Limited,2012-09-25,2013-03-25,181,100000.0,123103.30912025827,23103.309120258273,0.23103309120258264
Everlon Financials Limited,2013-01-08,2013-07-08,181,100000.0,56101.86585980837,-43898.13414019163,-0.43898134140191625
Tuni Textile Mills Limited,2013-01-22,2013-07-22,181,100000.0,9717.366516354949,-90282.63348364506,-0.9028263348364505
Advance Petrochemicals Ltd.,2013-02-21,2013-08-20,180,100000.0,114666.66666666666,14666.666666666657,0.1466666666666665
Univa Foods Limited ,2013-02-25,2013-08-26,182,100000.0,57525.38212652014,-42474.61787347986,-0.4247461787347986
Orient Paper & Industries Limited,2013-03-07,2013-09-03,180,100000.0,42657.4094933814,-57342.5905066186,-0.5734259050661861
Sawaca Enterprises Limited,2013-03-07,2013-09-03,180,100000.0,38478.31953940266,-61521.68046059734,-0.6152168046059734
Rushil Décor Limited ,2013-03-14,2013-09-10,180,100000.0,73238.38080959521,-26761.61919040479,-0.26761619190404784
Gravita India Limited ,2013-03-15,2013-09-11,180,100000.0,57427.86935932694,-42572.13064067306,-0.42572130640673056
Onelife Capital Advisors Limited,2013-03-20,2013-09-16,180,100000.0,138950.82124025014,38950.82124025014,0.38950821240250133
Esaar (India) Limited,2013-03-26,2013-09-23,181,100000.0,385105.29419927835,285105.29419927835,2.8510529419927835
PG Electroplast Limited,2013-03-26,2013-09-23,181,100000.0,161785.43297481546,61785.432974815456,0.6178543297481545
Gemstone Investments Limited,2013-04-03,2013-09-30,180,100000.0,13978.494623655914,-86021.50537634408,-0.8602150537634409
Polytex India Limited,2013-04-08,2013-10-07,182,100000.0,12855.930605317744,-87144.06939468226,-0.8714406939468226
Setubandhan Infrastructure Limited,2013-04-15,2013-10-14,182,100000.0,20732.417326502098,-79267.5826734979,-0.792675826734979
Eastern Treads Limited,2013-04-29,2013-10-28,182,100000.0,72220.56631892697,-27779.43368107303,-0.2777943368107303
HFCL Limited ,2013-04-29,2013-10-28,182,100000.0,94736.8286948959,-5263.171305104101,-0.052631713051040974
LGB Forge Limited,2013-04-30,2013-10-28,181,100000.0,76515.1515151515,-23484.848484848495,-0.23484848484848497
Comfort Commotrade Limited,2013-05-10,2013-11-06,180,100000.0,100675.42592156996,675.4259215699567,0.0067542592156994985
Advance Metering Technology Limited,2013-05-21,2013-11-18,181,100000.0,102682.42299046114,2682.422990461142,0.02682422990461153
Nibe Limited,2013-05-21,2013-11-18,181,100000.0,106772.11722815668,6772.117228156683,0.06772117228156693
Indo Credit Capital Limited,2013-05-22,2013-11-18,180,100000.0,54780.51713770295,-45219.48286229705,-0.45219482862297056
P.H. Capital Limited,2013-05-22,2013-11-18,180,100000.0,104125.0,4125.0,0.04125000000000001
India Power Corporation Limited ,2013-05-27,2013-11-25,182,100000.0,71249.99807453253,-28750.00192546747,-0.2875000192546747
N2N Technologies Limited,2013-05-27,2013-11-25,182,100000.0,81515.06923703503,-18484.93076296497,-0.18484930762964968
The Indian Link Chain Manufactures Limited,2013-05-27,2013-11-25,182,100000.0,101156.06936416184,1156.0693641618418,0.01156069364161838
Wockhardt Limited ,2013-05-27,2013-11-25,182,100000.0,38451.10647389107,-61548.89352610893,-0.6154889352610893
AuSom Enterprise Limited,2013-05-29,2013-11-25,180,100000.0,83605.07791348294,-16394.922086517065,-0.1639492208651706
Biogen Pharmachem Industries Limited,2013-05-30,2013-11-26,180,100000.0,178579.24693520143,78579.24693520143,0.7857924693520144
Genus Prime Infra Limited,2013-05-30,2013-11-26,180,100000.0,51036.855036855035,-48963.144963144965,-0.48963144963144967
India Steel Works Limited,2013-05-30,2013-11-26,180,100000.0,183281.75711374442,83281.75711374442,0.8328175711374441
Zodiac Ventures Limited,2013-05-30,2013-11-26,180,100000.0,536674.6367482068,436674.6367482068,4.366746367482068
Premier Capital Services Limited,2013-05-31,2013-11-27,180,100000.0,173669.42981096992,73669.42981096992,0.7366942981096991
SC Agrotech Limited,2013-06-03,2013-12-02,182,100000.0,99591.55888359429,-408.4411164057092,-0.004084411164057111
PIX Transmissions Limited,2013-06-24,2013-12-23,182,100000.0,93522.31532655851,-6477.684673441487,-0.06477684673441486
Agarwal Industrial Corporation Limited,2013-06-27,2013-12-24,180,100000.0,158208.11819535497,58208.11819535497,0.5820811819535496
Bemco Hydraulics Limited,2013-07-17,2014-01-13,180,100000.0,82057.11685060871,-17942.883149391288,-0.17942883149391287
MMTC Limited,2013-07-17,2014-01-13,180,100000.0,96892.65536723164,-3107.344632768363,-0.031073446327683607
Kuwer Industries Limited,2013-07-18,2014-01-14,180,100000.0,117244.1797509475,17244.1797509475,0.17244179750947497
Cressanda Railway Solutions Limited,2013-07-24,2014-01-20,180,100000.0,105482.75792120057,5482.757921200566,0.05482757921200565
63 moons technologies limited,2013-08-01,2014-01-28,180,100000.0,147588.04195772536,47588.04195772536,0.4758804195772537
Ruchi Infrastructure Limited ,2013-08-07,2014-02-03,180,100000.0,70833.33333333333,-29166.66666666667,-0.29166666666666674
Aneri Fincap Limited,2013-08-12,2014-02-10,182,100000.0,122949.95794785534,22949.957947855335,0.22949957947855326
G-Tech Info-Training Limited,2013-08-12,2014-02-10,182,100000.0,740000.0,640000.0,6.4
Rollatainers Limited,2013-08-30,2014-02-26,180,100000.0,64000.0,-36000.0,-0.36
JBF Industries Limited,2013-09-05,2014-03-04,180,100000.0,69717.19755933507,-30282.802440664935,-0.30282802440664935
DSJ Keep Learning Limited,2013-09-17,2014-03-17,181,100000.0,33537.66674377362,-66462.33325622638,-0.6646233325622638
