stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Archies Limited ,2001-12-27,2006-12-01,1800,holding_period,50000.0,58020.199272282116,8020.199272282116,0.16040398544564227
CyberTech Systems and Software Limited ,2001-12-27,2006-12-01,1800,holding_period,50000.0,64253.17476315258,14253.17476315258,0.2850634952630515
Jagsonpal Pharmaceuticals Limited ,2001-12-27,2006-12-01,1800,holding_period,50000.0,16576.756650595842,-33423.24334940416,-0.6684648669880832
LCC Infotech Limited,2001-12-27,2006-12-01,1800,holding_period,50000.0,50000.0,0.0,0.0
Mphasis Limited,2001-12-27,2006-12-01,1800,holding_period,50000.0,575663.0542237487,525663.0542237487,10.513261084474975
Trigyn Technologies Limited,2001-12-27,2006-12-01,1800,holding_period,50000.0,66403.97780661327,16403.97780661327,0.32807955613226536
Balaji Telefilms Limited ,2002-09-25,2008-01-02,1925,holding_period,50000.0,221613.08790617794,171613.08790617794,3.432261758123559
Lupin Limited,2002-10-24,2008-01-02,1896,holding_period,50000.0,687875.464102972,637875.464102972,12.75750928205944
Shree Rama Multi-Tech Limited ,2003-03-31,2008-03-04,1800,holding_period,50000.0,50000.0,0.0,0.0
Sundram Fasteners Limited ,2004-01-23,2008-12-29,1802,holding_period,50000.0,7371.921553279063,-42628.07844672094,-0.8525615689344187
The India Cements Limited ,2004-07-14,2009-06-18,1800,holding_period,50000.0,511159.3595504746,461159.3595504746,9.223187191009492
Adani Enterprises Limited,2004-07-28,2009-07-02,1800,holding_period,50000.0,637184.9586032081,587184.9586032081,11.743699172064161
DCM Shriram Limited ,2006-01-02,2011-01-03,1827,holding_period,50000.0,30404.206259247094,-19595.793740752906,-0.3919158748150581
T. Spiritual World Limited,2006-01-02,2011-01-03,1827,holding_period,50000.0,50000.0,0.0,0.0
Summit Securities Limited,2006-02-07,2011-01-12,1800,holding_period,50000.0,22742.62203303979,-27257.37796696021,-0.5451475593392042
K.C.P. Sugar and Industries Corporation Limited,2006-03-08,2011-02-10,1800,holding_period,50000.0,25478.643535909305,-24521.356464090695,-0.49042712928181387
Noida Toll Bridge Company Limited ,2006-04-17,2011-03-22,1800,holding_period,50000.0,44281.936831718274,-5718.063168281726,-0.11436126336563446
Nectar Lifesciences Limited ,2006-06-07,2011-05-12,1800,holding_period,50000.0,50000.0,0.0,0.0
Manugraph India Limited,2006-06-08,2011-05-13,1800,holding_period,50000.0,43719.00882564139,-6280.991174358613,-0.12561982348717227
Entertainment Network (India) Limited ,2006-06-23,2011-05-30,1802,holding_period,50000.0,58083.32669403044,8083.326694030438,0.1616665338806087
Vardhman Holdings Limited,2006-06-28,2011-06-02,1800,holding_period,50000.0,46770.35429755813,-3229.6457024418705,-0.06459291404883738
JM Financial Limited,2006-06-29,2011-06-03,1800,holding_period,50000.0,113548.72973751214,63548.72973751214,1.2709745947502427
NCC Limited,2006-07-19,2011-06-23,1800,holding_period,50000.0,47055.25511962632,-2944.744880373677,-0.05889489760747357
United Breweries Limited,2006-08-24,2011-07-29,1800,holding_period,50000.0,253622.35964474748,203622.35964474748,4.072447192894949
Apollo Tyres Limited ,2008-01-02,2012-12-06,1800,holding_period,50000.0,77915.47176030133,27915.471760301327,0.5583094352060265
Mahindra Lifespace Developers Limited,2008-01-02,2012-12-06,1800,holding_period,50000.0,24378.014161807994,-25621.985838192006,-0.5124397167638401
Sobha Limited ,2008-01-02,2012-12-06,1800,holding_period,50000.0,26318.803014708756,-23681.196985291244,-0.47362393970582484
WNS (Holdings) Limited (NYSE:WNS),2008-01-02,2012-12-06,1800,holding_period,50000.0,54644.43700276919,4644.437002769191,0.09288874005538372
Cinevista Limited ,2008-01-22,2012-12-26,1800,holding_period,50000.0,50000.0,0.0,0.0
City Union Bank Limited ,2008-01-23,2012-12-27,1800,holding_period,50000.0,114860.74593436556,64860.745934365565,1.2972149186873114
Walchandnagar Industries Limited ,2008-02-25,2013-01-29,1800,holding_period,50000.0,15526.512368298994,-34473.487631701006,-0.6894697526340201
Kanoria Chemicals & Industries Limited ,2008-02-29,2013-02-04,1802,holding_period,50000.0,50000.0,0.0,0.0
Bajaj Holdings & Investment Limited,2008-03-17,2013-02-19,1800,holding_period,50000.0,80668.65731947437,30668.65731947437,0.6133731463894874
Dhanlaxmi Bank Limited,2008-04-15,2013-03-20,1800,holding_period,50000.0,51254.53852854445,1254.53852854445,0.02509077057088893
