stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Lupin Limited,2002-05-20,2003-09-09,477,sell_threshold,50000.0,246486.31213966056,196486.31213966056,3.929726242793211
Birla Cable Limited ,2003-03-31,2003-12-29,273,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
BPL Limited ,2003-05-12,2004-07-19,434,sell_threshold,50000.0,50000.0,0.0,0.0
Asahi India Glass Limited,2002-05-30,2006-01-06,1317,sell_threshold,50000.0,283466.19728972664,233466.19728972664,4.669323945794533
Titan Company Limited,2003-08-07,2006-01-25,902,sell_threshold,50000.0,530642.6896125013,480642.6896125013,9.612853792250027
The India Cements Limited ,2004-06-28,2006-02-06,588,sell_threshold,50000.0,238916.41207060055,188916.41207060055,3.7783282414120114
Pfizer Limited ,2003-02-26,2006-02-13,1083,sell_threshold,50000.0,201341.03637184447,151341.03637184447,3.0268207274368892
Havells India Limited ,2004-05-14,2006-03-24,679,sell_threshold,50000.0,258149.03082300603,208149.03082300603,4.16298061646012
HCL Technologies Limited ,2002-10-30,2006-11-21,1483,sell_threshold,50000.0,229162.91713577177,179162.91713577177,3.5832583427154354
Adani Enterprises Limited,2004-07-28,2008-01-02,1253,sell_threshold,50000.0,1032541.0609991471,982541.0609991471,19.65082121998294
Rajesh Exports Limited ,2006-06-12,2008-01-02,569,sell_threshold,50000.0,257761.41767580665,207761.41767580665,4.155228353516133
Shriram Finance Limited,2006-06-28,2008-01-02,553,sell_threshold,50000.0,254039.52423844388,204039.52423844388,4.080790484768878
BPL Limited ,2006-10-04,2008-01-02,455,sell_threshold,50000.0,50000.0,0.0,0.0
Biocon Limited ,2008-10-17,2009-05-21,216,sell_threshold,50000.0,66978.65127691286,16978.65127691286,0.3395730255382572
TVS Motor Company Limited,2009-01-23,2009-06-05,133,sell_threshold,50000.0,171096.3264643933,121096.32646439329,2.421926529287866
Aurobindo Pharma Limited ,2008-10-23,2009-08-03,284,sell_threshold,50000.0,179659.19802846553,129659.19802846553,2.5931839605693106
MRF Limited ,2009-02-09,2009-09-30,233,sell_threshold,50000.0,173755.87289591698,123755.87289591698,2.4751174579183397
Balrampur Chini Mills Limited ,2008-10-24,2009-10-28,369,sell_threshold,50000.0,197914.94402193293,147914.94402193293,2.9582988804386585
Engineers India Limited ,2008-10-27,2009-11-10,379,sell_threshold,50000.0,213285.07752779705,163285.07752779705,3.2657015505559412
Trent Limited,2008-11-19,2009-12-09,385,sell_threshold,50000.0,159944.0514947223,109944.05149472231,2.198881029894446
IndusInd Bank Limited ,2008-07-29,2011-01-03,888,sell_threshold,50000.0,313651.7749028105,263651.7749028105,5.273035498056211
Jyothy Labs Limited,2008-09-30,2011-01-03,825,sell_threshold,50000.0,239922.97092282752,189922.97092282752,3.7984594184565506
Raymond Limited ,2008-10-01,2011-01-03,824,sell_threshold,50000.0,146929.67006423595,96929.67006423595,1.9385934012847188
Hindalco Industries Limited,2008-10-10,2011-01-03,815,sell_threshold,50000.0,237969.57469762932,187969.57469762932,3.7593914939525863
Nahar Spinning Mills Limited,2008-10-10,2011-01-03,815,sell_threshold,50000.0,50000.0,0.0,0.0
Hindustan Copper Limited,2008-12-04,2011-01-03,760,sell_threshold,50000.0,208261.1522760024,158261.1522760024,3.1652230455200483
Tata Consultancy Services Limited ,2008-10-17,2011-01-18,823,sell_threshold,50000.0,264966.4014266416,214966.40142664162,4.299328028532832
Mahindra & Mahindra Limited ,2008-10-23,2011-01-24,823,sell_threshold,50000.0,283520.4041209783,233520.40412097832,4.670408082419566
Godfrey Phillips India Limited,2008-11-24,2012-04-18,1241,sell_threshold,50000.0,249642.97936436965,199642.97936436965,3.992859587287393
Indian Acrylics Limited,2008-10-08,2012-09-26,1449,sell_threshold,50000.0,50000.0,0.0,0.0
Zee Entertainment Enterprises Limited ,2008-11-14,2012-10-04,1420,sell_threshold,50000.0,204366.46752014378,154366.46752014378,3.087329350402875
Schaeffler India Limited,2008-10-15,2012-10-16,1462,sell_threshold,50000.0,375319.6702097359,325319.6702097359,6.506393404194719
Eicher Motors Limited,2006-07-19,2012-11-07,2303,sell_threshold,50000.0,565741.9495564783,515741.9495564783,10.314838991129566
Bharat Petroleum Corporation Limited ,2008-07-01,2013-01-18,1662,sell_threshold,50000.0,201412.365952644,151412.365952644,3.0282473190528805
Pidilite Industries Limited ,2008-10-24,2013-05-14,1663,sell_threshold,50000.0,366387.3048112994,316387.3048112994,6.3277460962259875
HCL Technologies Limited ,2008-12-12,2013-07-10,1671,sell_threshold,50000.0,407493.6475802024,357493.6475802024,7.149872951604047
JCT Limited,2008-10-03,2013-08-13,1775,sell_threshold,50000.0,50000.0,0.0,0.0
Indian Infotech and Software Limited,2013-03-26,2013-09-12,170,sell_threshold,50000.0,50000.0,0.0,0.0
Finolex Industries Limited ,2008-10-10,2013-11-22,1869,sell_threshold,50000.0,208647.1430665659,158647.1430665659,3.172942861331318
Aurobindo Pharma Limited ,2011-11-15,2013-12-16,762,sell_threshold,50000.0,182531.8240522459,132531.8240522459,2.650636481044918
Birla Cable Limited ,2008-10-07,2014-02-05,1947,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Trigyn Technologies Limited,2001-12-27,2014-02-21,4439,sell_threshold,50000.0,66403.97780661327,16403.97780661327,0.32807955613226536
Shree Rama Multi-Tech Limited ,2002-09-13,2014-05-27,4274,sell_threshold,50000.0,34803.921568627455,-15196.078431372545,-0.3039215686274509
Finolex Cables Limited ,2008-10-10,2014-07-02,2091,sell_threshold,50000.0,311718.69572502177,261718.69572502177,5.234373914500435
CESC Limited ,2008-10-10,2014-07-04,2093,sell_threshold,50000.0,198749.96998461947,148749.96998461947,2.9749993996923894
Amara Raja Energy & Mobility Limited,2008-07-01,2015-01-01,2375,sell_threshold,50000.0,988681.9845442596,938681.9845442596,18.773639690885194
J.K. Cement Limited,2008-10-08,2015-01-01,2276,sell_threshold,50000.0,397487.37611201993,347487.37611201993,6.949747522240399
ADC India Communications Limited,2008-12-30,2015-01-01,2193,sell_threshold,50000.0,50000.0,0.0,0.0
Honeywell Automation India Limited,2009-02-06,2015-01-01,2155,sell_threshold,50000.0,455220.4089681382,405220.4089681382,8.104408179362764
Ashok Leyland Limited ,2008-10-24,2015-01-05,2264,sell_threshold,50000.0,351269.2674009883,301269.2674009883,6.025385348019767
Rollatainers Limited,2013-10-23,2015-01-20,454,sell_threshold,50000.0,59686.53185173964,9686.531851739637,0.19373063703479265
3M India Limited,2008-10-23,2015-02-18,2309,sell_threshold,50000.0,421300.66111089266,371300.66111089266,7.426013222217852
Sundaram Finance Limited ,2008-08-22,2015-03-03,2384,sell_threshold,50000.0,537939.824731038,487939.82473103795,9.758796494620759
United Spirits Limited ,2008-06-16,2015-03-04,2452,sell_threshold,50000.0,244258.8404022786,194258.8404022786,3.885176808045572
MIRC Electronics Limited ,2008-10-27,2015-05-15,2391,sell_threshold,50000.0,50000.0,0.0,0.0
TVS Electronics Limited ,2008-05-30,2015-08-18,2636,sell_threshold,50000.0,50000.0,0.0,0.0
Mukta Arts Limited ,2008-10-27,2016-01-12,2633,sell_threshold,50000.0,50000.0,0.0,0.0
Sterlite Technologies Limited,2008-09-29,2016-05-26,2796,sell_threshold,50000.0,225820.45364929768,175820.45364929768,3.5164090729859536
HLV Limited ,2008-11-24,2016-05-26,2740,sell_threshold,50000.0,68538.45237138431,18538.45237138431,0.3707690474276861
Jagatjit Industries Limited,2008-10-27,2016-07-25,2828,sell_threshold,50000.0,50000.0,0.0,0.0
BPL Limited ,2008-03-07,2016-08-26,3094,sell_threshold,50000.0,50000.0,0.0,0.0
Bayer CropScience Limited,2013-05-20,2016-09-27,1226,sell_threshold,50000.0,152612.40466394363,102612.40466394363,2.0522480932788727
BPL Limited ,2016-11-17,2016-11-30,13,sell_threshold,50000.0,50000.0,0.0,0.0
UPL Limited,2008-10-24,2017-04-28,3108,sell_threshold,50000.0,547881.2585373102,497881.2585373102,9.957625170746203
