stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Archies Limited ,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
CyberTech Systems and Software Limited ,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
Dr. Reddy's Laboratories Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,100969.10732477508,50969.107324775076,1.0193821464955013
LCC Infotech Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
Mphasis Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,141825.51103239614,91825.51103239614,1.8365102206479227
Reliance Industries Limited ,2004-12-13,2008-01-02,1115,holding_period,50000.0,284250.94172916183,234250.94172916183,4.685018834583237
Shree Rama Multi-Tech Limited ,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
Sri Havisha Hospitality and Infrastructure Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
Sundram Fasteners Limited ,2004-12-13,2008-01-02,1115,holding_period,50000.0,27957.80214881525,-22042.19785118475,-0.44084395702369494
Trigyn Technologies Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,50000.0,0.0,0.0
Wipro Limited,2004-12-13,2008-01-02,1115,holding_period,50000.0,71144.39089349864,21144.39089349864,0.42288781786997287
Adani Enterprises Limited,2006-01-02,2008-12-17,1080,holding_period,50000.0,262939.8741508961,212939.8741508961,4.258797483017922
Coromandel International Limited ,2006-01-02,2008-12-17,1080,holding_period,50000.0,75644.0055176479,25644.005517647907,0.5128801103529581
Hindustan Petroleum Corporation Limited ,2006-01-02,2008-12-17,1080,holding_period,50000.0,37816.09177754508,-12183.90822245492,-0.2436781644490984
Jagsonpal Pharmaceuticals Limited ,2006-01-02,2008-12-17,1080,holding_period,50000.0,50000.0,0.0,0.0
Smartlink Holdings Limited ,2006-01-18,2009-01-02,1080,holding_period,50000.0,50000.0,0.0,0.0
Summit Securities Limited,2006-02-17,2009-02-02,1081,holding_period,50000.0,26824.551657635184,-23175.448342364816,-0.46350896684729637
MIRC Electronics Limited ,2006-03-06,2009-02-18,1080,holding_period,50000.0,50000.0,0.0,0.0
National Fertilizers Limited,2006-03-17,2009-03-02,1081,holding_period,50000.0,36799.98956333993,-13200.010436660072,-0.2640002087332014
Noida Toll Bridge Company Limited ,2006-04-17,2009-04-01,1080,holding_period,50000.0,35884.88787128904,-14115.112128710964,-0.2823022425742193
Havells India Limited ,2006-06-02,2009-05-18,1081,holding_period,50000.0,24998.152117673144,-25001.847882326856,-0.5000369576465371
Infosys Limited ,2006-06-06,2009-05-21,1080,holding_period,50000.0,56469.65654721753,6469.656547217528,0.12939313094435057
Piramal Enterprises Limited,2006-06-06,2009-05-21,1080,holding_period,50000.0,68359.38023614668,18359.38023614668,0.36718760472293366
Indian Oil Corporation Limited ,2006-06-07,2009-05-22,1080,holding_period,50000.0,72249.48300799,22249.48300799,0.4449896601598
Apollo Tyres Limited ,2006-06-08,2009-05-25,1082,holding_period,50000.0,9464.007943606128,-40535.99205639387,-0.8107198411278774
E.I.D.- Parry (India) Limited ,2006-06-08,2009-05-25,1082,holding_period,50000.0,71528.88521792348,21528.885217923482,0.43057770435846954
Oracle Financial Services Software Limited,2006-06-08,2009-05-25,1082,holding_period,50000.0,67158.08705118652,17158.08705118652,0.3431617410237304
City Union Bank Limited ,2006-06-13,2009-05-28,1080,holding_period,50000.0,18759.68992248062,-31240.31007751938,-0.6248062015503877
TVS Motor Company Limited,2006-06-14,2009-05-29,1080,holding_period,50000.0,25140.617171821446,-24859.382828178554,-0.4971876565635711
The Federal Bank Limited ,2006-06-26,2009-06-10,1080,holding_period,50000.0,161013.36162013293,111013.36162013293,2.2202672324026587
DCM Shriram Limited ,2006-07-03,2009-06-17,1080,holding_period,50000.0,27752.049510721947,-22247.950489278053,-0.444959009785561
Canara Bank ,2006-07-12,2009-06-26,1080,holding_period,50000.0,68497.55595574994,18497.555955749936,0.36995111911499867
Mukta Arts Limited ,2006-07-12,2009-06-26,1080,holding_period,50000.0,50000.0,0.0,0.0
TAJGVK Hotels & Resorts Limited ,2006-07-12,2009-06-26,1080,holding_period,50000.0,21858.548178454315,-28141.451821545685,-0.5628290364309136
Punjab National Bank ,2006-07-18,2009-07-02,1080,holding_period,50000.0,109981.88591858726,59981.88591858726,1.1996377183717453
Tata Steel Limited,2006-07-19,2009-07-03,1080,holding_period,50000.0,63031.11342907205,13031.113429072051,0.260622268581441
The Karur Vysya Bank Limited ,2006-07-19,2009-07-03,1080,holding_period,50000.0,82707.95220749892,32707.95220749892,0.6541590441499785
United Breweries Limited,2006-08-24,2009-08-10,1082,holding_period,50000.0,68995.56614869014,18995.566148690137,0.3799113229738027
FDC Limited,2006-09-15,2009-08-31,1081,holding_period,50000.0,51562.91286972667,1562.9128697266715,0.03125825739453347
BPL Limited ,2006-10-04,2009-09-18,1080,holding_period,50000.0,50000.0,0.0,0.0
Tamilnadu Petroproducts Limited,2006-10-04,2009-09-18,1080,holding_period,50000.0,50000.00000000001,7.275957614183426e-12,2.220446049250313e-16
Cinevista Limited ,2006-10-05,2009-09-21,1082,holding_period,50000.0,50000.0,0.0,0.0
The Great Eastern Shipping Company Limited,2006-12-01,2009-11-16,1081,holding_period,50000.0,61526.19014515195,11526.190145151952,0.23052380290303898
ACC Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,52509.66442999842,2509.664429998418,0.0501932885999683
Apollo Hospitals Enterprise Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,95389.88322296982,45389.88322296982,0.9077976644593964
Balkrishna Industries Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,43534.4530316444,-6465.5469683556,-0.12931093936711202
Biocon Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,69727.76335939551,19727.76335939551,0.39455526718791023
Dr. Reddy's Laboratories Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,112758.09631121259,62758.09631121259,1.2551619262242517
GlaxoSmithKline Pharmaceuticals Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,113708.38035154031,63708.38035154031,1.2741676070308063
Mahindra Lifespace Developers Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,22503.22596195646,-27496.77403804354,-0.5499354807608707
Manugraph India Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
Nahar Spinning Mills Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
Rane Engine Valve Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
Rico Auto Industries Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
SRF Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,86879.3749238503,36879.37492385029,0.7375874984770059
Shree Rama Multi-Tech Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
Sundram Fasteners Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,49420.73714897668,-579.262851023319,-0.011585257020466422
The Andhra Sugars Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,50000.0,0.0,0.0
Vardhman Textiles Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,93892.14318198603,43892.14318198603,0.8778428636397206
Wipro Limited,2008-01-02,2011-01-03,1097,holding_period,50000.0,79391.87922445136,29391.87922445136,0.5878375844890271
Zydus Lifesciences Limited ,2008-01-02,2011-01-03,1097,holding_period,50000.0,201292.24980491275,151292.24980491275,3.0258449960982547
Hindalco Industries Limited,2008-01-03,2011-01-03,1096,holding_period,50000.0,119323.962627651,69323.962627651,1.3864792525530198
Aurobindo Pharma Limited ,2008-01-04,2011-01-03,1095,holding_period,50000.0,136421.43573051246,86421.43573051246,1.7284287146102493
Carborundum Universal Limited ,2008-01-04,2011-01-03,1095,holding_period,50000.0,77688.76746274807,27688.767462748074,0.5537753492549615
Danlaw Technologies India Limited,2008-01-08,2011-01-03,1091,holding_period,50000.0,50000.0,0.0,0.0
Bajaj Holdings & Investment Limited,2008-01-10,2011-01-03,1089,holding_period,50000.0,18123.564510186934,-31876.435489813066,-0.6375287097962613
Ador Welding Limited,2008-01-11,2011-01-03,1088,holding_period,50000.0,50000.0,0.0,0.0
Maruti Suzuki India Limited ,2008-01-11,2011-01-03,1088,holding_period,50000.0,79251.41723397447,29251.41723397447,0.5850283446794893
Torrent Pharmaceuticals Limited,2008-01-11,2011-01-03,1088,holding_period,50000.0,155810.82980368103,105810.82980368103,2.116216596073621
Godrej Consumer Products Limited ,2008-01-14,2011-01-03,1085,holding_period,50000.0,212411.20562315782,162411.20562315782,3.2482241124631566
Lupin Limited,2008-01-14,2011-01-03,1085,holding_period,50000.0,218878.642728017,168878.642728017,3.3775728545603396
Tata Consumer Products Limited ,2008-01-15,2011-01-03,1084,holding_period,50000.0,70612.83285395442,20612.832853954416,0.41225665707908843
Kalpataru Projects International Limited ,2008-01-16,2011-01-03,1083,holding_period,50000.0,29524.190834716665,-20475.809165283335,-0.40951618330566675
Raymond Limited ,2008-01-16,2011-01-03,1083,holding_period,50000.0,50164.484987389274,164.48498738927447,0.0032896997477855905
Asahi India Glass Limited,2008-01-21,2011-01-05,1080,holding_period,50000.0,43716.819888644306,-6283.180111355694,-0.12566360222711392
Century Enka Limited ,2008-01-21,2011-01-05,1080,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Mahindra & Mahindra Limited ,2008-01-21,2011-01-05,1080,holding_period,50000.0,137443.15541020248,87443.15541020248,1.7488631082040498
Mangalam Cement Limited,2008-01-21,2011-01-05,1080,holding_period,50000.0,50000.0,0.0,0.0
Mphasis Limited,2008-01-21,2011-01-05,1080,holding_period,50000.0,140725.1369422724,90725.1369422724,1.814502738845448
Archies Limited ,2008-01-22,2011-01-06,1080,holding_period,50000.0,50000.0,0.0,0.0
Eicher Motors Limited,2008-01-22,2011-01-06,1080,holding_period,50000.0,214141.85673900018,164141.85673900018,3.282837134780004
Finolex Industries Limited ,2008-01-22,2011-01-06,1080,holding_period,50000.0,70483.04125330105,20483.041253301053,0.409660825066021
Gujarat Alkalies and Chemicals Limited ,2008-01-22,2011-01-06,1080,holding_period,50000.0,44785.162914252745,-5214.837085747255,-0.10429674171494507
Nahar Industrial Enterprises Limited,2008-01-22,2011-01-06,1080,holding_period,50000.0,50000.0,0.0,0.0
Hindustan Zinc Limited,2008-01-28,2011-01-12,1080,holding_period,50000.0,123626.90137405595,73626.90137405595,1.4725380274811188
Pfizer Limited ,2008-01-29,2011-01-13,1080,holding_period,50000.0,92132.4368518064,42132.4368518064,0.842648737036128
Bharat Forge Limited,2008-02-05,2011-01-20,1080,holding_period,50000.0,61554.045028980625,11554.045028980625,0.2310809005796124
Graphite India Limited,2008-02-12,2011-01-27,1080,holding_period,50000.0,124889.25981033978,74889.25981033978,1.4977851962067956
Indraprastha Gas Limited ,2008-02-12,2011-01-27,1080,holding_period,50000.0,116759.57768266955,66759.57768266955,1.3351915536533911
Schaeffler India Limited,2008-02-14,2011-01-31,1082,holding_period,50000.0,73279.3318138742,23279.331813874203,0.4655866362774841
Procter & Gamble Hygiene and Health Care Limited,2008-02-19,2011-02-03,1080,holding_period,50000.0,107187.08191246442,57187.08191246442,1.1437416382492884
Kanoria Chemicals & Industries Limited ,2008-02-29,2011-02-14,1081,holding_period,50000.0,50000.0,0.0,0.0
Birla Cable Limited ,2008-03-04,2011-02-17,1080,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Ingersoll-Rand (India) Limited ,2008-03-05,2011-02-18,1080,holding_period,50000.0,70755.88224609161,20755.882246091613,0.41511764492183234
Bharat Electronics Limited,2008-03-07,2011-02-21,1081,holding_period,50000.0,64073.08514325323,14073.085143253229,0.28146170286506456
JCT Limited,2008-03-07,2011-02-21,1081,holding_period,50000.0,50000.0,0.0,0.0
63 moons technologies limited,2008-03-10,2011-02-23,1080,holding_period,50000.0,26344.55187258521,-23655.44812741479,-0.4731089625482958
Container Corporation of India Limited ,2008-03-13,2011-02-28,1082,holding_period,50000.0,66502.16655651109,16502.16655651109,0.3300433311302218
JM Financial Limited,2008-03-13,2011-02-28,1082,holding_period,50000.0,18496.368331410362,-31503.631668589638,-0.6300726333717928
Siemens Limited ,2008-03-13,2011-02-28,1082,holding_period,50000.0,65569.14230432699,15569.14230432699,0.31138284608653977
UPL Limited,2008-03-13,2011-02-28,1082,holding_period,50000.0,60743.84060001703,10743.840600017029,0.2148768120003406
The Ramco Cements Limited ,2008-03-17,2011-03-02,1080,holding_period,50000.0,27889.446053799573,-22110.553946200427,-0.44221107892400857
The Shipping Corporation of India Limited ,2008-03-17,2011-03-02,1080,holding_period,50000.0,46720.85515623909,-3279.144843760907,-0.06558289687521812
Titan Company Limited,2008-03-18,2011-03-03,1080,holding_period,50000.0,188743.05717539042,138743.05717539042,2.7748611435078083
3M India Limited,2008-03-19,2011-03-04,1080,holding_period,50000.0,95987.82353674562,45987.82353674562,0.9197564707349124
Bayer CropScience Limited,2008-03-19,2011-03-04,1080,holding_period,50000.0,171881.99916929513,121881.99916929513,2.4376399833859024
Gujarat Narmada Valley Fertilizers & Chemicals Limited ,2008-03-24,2011-03-09,1080,holding_period,50000.0,39160.26187851389,-10839.738121486109,-0.21679476242972218
UltraTech Cement Limited ,2008-03-24,2011-03-09,1080,holding_period,50000.0,145143.85371746944,95143.85371746944,1.9028770743493886
Grindwell Norton Limited,2008-04-02,2011-03-18,1080,holding_period,50000.0,72422.63510814183,22422.635108141825,0.4484527021628366
NCC Limited,2008-04-03,2011-03-21,1082,holding_period,50000.0,29390.731477711153,-20609.268522288847,-0.41218537044577697
Grasim Industries Limited ,2008-04-04,2011-03-21,1081,holding_period,50000.0,47874.447051510295,-2125.552948489705,-0.042511058969794124
Dhanlaxmi Bank Limited,2008-04-15,2011-03-31,1080,holding_period,50000.0,128532.32710969987,78532.32710969987,1.5706465421939972
Honeywell Automation India Limited,2008-04-15,2011-03-31,1080,holding_period,50000.0,80050.58103485098,30050.581034850984,0.6010116206970197
Zee Entertainment Enterprises Limited ,2008-04-15,2011-03-31,1080,holding_period,50000.0,60570.46162738404,10570.461627384037,0.21140923254768063
Ashok Leyland Limited ,2008-04-16,2011-04-01,1080,holding_period,50000.0,76118.5308385747,26118.530838574705,0.5223706167714941
Jubilant Pharmova Limited,2008-04-22,2011-04-07,1080,holding_period,50000.0,26988.151553633958,-23011.848446366042,-0.4602369689273208
Bharti Airtel Limited,2008-04-25,2011-04-11,1081,holding_period,50000.0,39071.51070314826,-10928.489296851738,-0.2185697859370348
Bajaj Hindusthan Sugar Limited ,2008-05-05,2011-04-20,1080,holding_period,50000.0,27838.81976957297,-22161.18023042703,-0.4432236046085406
Bharat Petroleum Corporation Limited ,2008-05-12,2011-04-27,1080,holding_period,50000.0,88339.39750872867,38339.39750872867,0.7667879501745734
LMW Limited,2008-05-20,2011-05-05,1080,holding_period,50000.0,62861.30060443512,12861.30060443512,0.25722601208870244
Kotak Mahindra Bank Limited,2008-05-21,2011-05-06,1080,holding_period,50000.0,62435.427273475056,12435.427273475056,0.24870854546950105
Indian Overseas Bank ,2008-05-22,2011-05-09,1082,holding_period,50000.0,80209.42408376963,30209.424083769627,0.6041884816753926
HDFC Bank Limited ,2008-05-26,2011-05-11,1080,holding_period,50000.0,110195.18165157003,60195.181651570034,1.2039036330314006
Union Bank of India ,2008-05-26,2011-05-11,1080,holding_period,50000.0,113936.175560174,63936.175560174,1.2787235112034798
Finolex Cables Limited ,2008-05-27,2011-05-12,1080,holding_period,50000.0,37892.72583520471,-12107.274164795293,-0.2421454832959059
IDBI Bank Limited ,2008-05-27,2011-05-12,1080,holding_period,50000.0,104908.64816980126,54908.648169801265,1.098172963396025
Voltas Limited ,2008-05-27,2011-05-12,1080,holding_period,50000.0,56626.712899435035,6626.712899435035,0.13253425798870078
Godrej Industries Limited,2008-05-28,2011-05-13,1080,holding_period,50000.0,37259.35635810218,-12740.64364189782,-0.2548128728379564
