stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Shree Rama Multi-Tech Limited ,2001-09-28,2001-12-07,70,sell_threshold,50000.0,102019.23076923078,52019.23076923078,1.0403846153846157
Kotak Mahindra Bank Limited,2001-10-15,2002-01-08,85,sell_threshold,50000.0,50000.0,0.0,0.0
Bharat Petroleum Corporation Limited ,2001-10-16,2002-02-05,112,sell_threshold,50000.0,85232.90386521308,35232.903865213084,0.7046580773042617
Hindustan Petroleum Corporation Limited ,2001-09-28,2002-02-06,131,sell_threshold,50000.0,88935.7552729712,38935.755272971204,0.7787151054594241
Hindustan Zinc Limited,2001-09-28,2002-02-11,136,sell_threshold,50000.0,96579.86758887797,46579.86758887797,0.9315973517775593
Apollo Hospitals Enterprise Limited ,2001-09-28,2002-02-22,147,sell_threshold,50000.0,102403.20209116157,52403.20209116157,1.0480640418232312
The Karur Vysya Bank Limited ,2001-09-28,2002-03-13,166,sell_threshold,50000.0,104001.60234556116,54001.60234556116,1.080032046911223
Sundram Fasteners Limited ,2001-09-28,2002-04-09,193,sell_threshold,50000.0,88182.92003967236,38182.92003967236,0.7636584007934473
Danlaw Technologies India Limited,2001-09-28,2002-04-16,200,sell_threshold,50000.0,50000.0,0.0,0.0
Aditya Birla Real Estate Limited,2001-09-28,2002-06-10,255,sell_threshold,50000.0,96634.61737193028,46634.617371930275,0.9326923474386055
JSW Steel Limited,2001-09-28,2002-06-17,262,sell_threshold,50000.0,130660.78752354298,80660.78752354298,1.6132157504708595
Siemens Limited ,2001-11-22,2002-07-03,223,sell_threshold,50000.0,84418.98202537594,34418.98202537594,0.6883796405075189
Sri Havisha Hospitality and Infrastructure Limited,2001-09-28,2002-07-05,280,sell_threshold,50000.0,50000.0,0.0,0.0
Sri Havisha Hospitality and Infrastructure Limited,2002-08-30,2002-11-21,83,sell_threshold,50000.0,50000.0,0.0,0.0
Danlaw Technologies India Limited,2002-07-25,2002-11-29,127,sell_threshold,50000.0,50000.0,0.0,0.0
