stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Sterlite Technologies Limited,2003-03-31,2003-12-01,245,sell_threshold,50000.0,137500.85996084832,87500.85996084832,1.7500171992169662
IndusInd Bank Limited ,2001-07-02,2004-06-02,1066,sell_threshold,50000.0,277180.3641732284,227180.3641732284,4.543607283464568
Zee Entertainment Enterprises Limited ,2001-07-26,2004-07-29,1099,sell_threshold,50000.0,96467.02743830817,46467.02743830817,0.9293405487661635
NMDC Limited,2004-06-23,2004-12-24,184,sell_threshold,50000.0,177692.41276224874,127692.41276224874,2.553848255244975
Bosch Limited,2001-07-02,2006-01-02,1645,sell_threshold,50000.0,561425.6192243879,511425.6192243879,10.22851238448776
The India Cements Limited ,2004-06-28,2006-03-09,619,sell_threshold,50000.0,275749.6351254189,225749.6351254189,4.514992702508378
Havells India Limited ,2004-05-14,2006-04-05,691,sell_threshold,50000.0,274815.6974896727,224815.6974896727,4.4963139497934534
BPL Limited ,2001-07-02,2008-01-02,2375,sell_threshold,50000.0,49221.78988326848,-778.2101167315195,-0.015564202334630406
IFCI Limited ,2004-03-23,2008-01-02,1380,sell_threshold,50000.0,660915.1854628853,610915.1854628853,12.218303709257706
Adani Enterprises Limited,2004-07-28,2008-01-02,1253,sell_threshold,50000.0,1032541.0609991471,982541.0609991471,19.65082121998294
Rajesh Exports Limited ,2006-06-12,2008-01-02,569,sell_threshold,50000.0,257761.41767580665,207761.41767580665,4.155228353516133
Shriram Finance Limited,2006-06-26,2008-01-02,555,sell_threshold,50000.0,249672.80027618707,199672.80027618707,3.9934560055237416
Biocon Limited ,2008-10-29,2009-03-31,153,sell_threshold,50000.0,76946.44626183585,26946.446261835852,0.5389289252367171
Aurobindo Pharma Limited ,2008-10-27,2009-07-31,277,sell_threshold,50000.0,195172.09353818902,145172.09353818902,2.90344187076378
Jindal Saw Limited ,2009-01-29,2009-10-16,260,sell_threshold,50000.0,220555.988483548,170555.988483548,3.41111976967096
Jyothy Labs Limited,2008-10-27,2009-12-04,403,sell_threshold,50000.0,211622.26684163095,161622.26684163095,3.232445336832619
IndusInd Bank Limited ,2008-10-27,2009-12-10,409,sell_threshold,50000.0,251552.28084927477,201552.28084927477,4.031045616985495
Raymond Limited ,2008-10-10,2011-01-03,815,sell_threshold,50000.0,194852.96571146377,144852.96571146377,2.8970593142292755
Hindalco Industries Limited,2008-10-16,2011-01-03,809,sell_threshold,50000.0,275157.658241945,225157.65824194503,4.503153164838901
Mahindra & Mahindra Limited ,2008-10-24,2011-01-03,801,sell_threshold,50000.0,334081.07496405544,284081.07496405544,5.681621499281109
Wockhardt Limited ,2008-11-20,2011-01-03,774,sell_threshold,50000.0,200269.744083383,150269.744083383,3.0053948816676597
Hindustan Zinc Limited,2008-10-23,2011-01-12,811,sell_threshold,50000.0,266959.39814054966,216959.39814054966,4.3391879628109935
Gillette India Limited,2001-09-11,2011-07-25,3604,sell_threshold,50000.0,418456.61894985515,368456.61894985515,7.369132378997103
Indian Acrylics Limited,2008-10-17,2012-09-24,1438,sell_threshold,50000.0,50000.0,0.0,0.0
J.K. Cement Limited,2008-10-16,2012-12-24,1530,sell_threshold,50000.0,256831.44738753376,206831.44738753376,4.136628947750675
Eicher Motors Limited,2006-07-05,2012-12-26,2366,sell_threshold,50000.0,579953.1098455833,529953.1098455833,10.599062196911667
JCT Limited,2008-11-24,2013-05-30,1648,sell_threshold,50000.0,50000.0,0.0,0.0
MRF Limited ,2008-12-01,2013-11-18,1813,sell_threshold,50000.0,502676.5406863505,452676.5406863505,9.05353081372701
Birla Cable Limited ,2008-10-27,2014-01-20,1911,sell_threshold,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
AstraZeneca Pharma India Limited,2013-03-21,2014-03-04,348,sell_threshold,50000.0,92313.71087928466,42313.710879284656,0.8462742175856932
Asahi India Glass Limited,2002-05-30,2014-04-07,4330,sell_threshold,50000.0,282261.5262321144,232261.5262321144,4.6452305246422885
Bharat Petroleum Corporation Limited ,2008-07-01,2014-04-21,2120,sell_threshold,50000.0,214795.09707458288,164795.09707458288,3.2959019414916577
Finolex Cables Limited ,2008-10-24,2014-04-30,2014,sell_threshold,50000.0,273246.25770472555,223246.25770472555,4.4649251540945105
Shree Rama Multi-Tech Limited ,2002-09-25,2014-05-27,4262,sell_threshold,50000.0,44375.00000000001,-5624.999999999993,-0.11249999999999982
Rane Engine Valve Limited,2008-07-03,2014-05-29,2156,sell_threshold,50000.0,50000.0,0.0,0.0
Amara Raja Energy & Mobility Limited,2008-07-01,2015-01-01,2375,sell_threshold,50000.0,988681.9845442596,938681.9845442596,18.773639690885194
Ashok Leyland Limited ,2008-11-20,2015-01-01,2233,sell_threshold,50000.0,401586.039509062,351586.039509062,7.0317207901812395
Sundaram Finance Limited ,2008-08-22,2015-02-11,2364,sell_threshold,50000.0,528675.8442162466,478675.8442162466,9.573516884324933
Lupin Limited,2002-05-20,2015-03-05,4672,sell_threshold,50000.0,8764411.350918926,8714411.350918926,174.28822701837854
United Spirits Limited ,2008-06-16,2015-04-08,2487,sell_threshold,50000.0,249630.4414495573,199630.4414495573,3.9926088289911457
Oracle Financial Services Software Limited,2008-10-06,2015-05-15,2412,sell_threshold,50000.0,278279.01018069056,228279.01018069056,4.565580203613811
Rollatainers Limited,2013-10-23,2015-07-24,639,sell_threshold,50000.0,70506.34942961528,20506.34942961528,0.41012698859230556
TVS Electronics Limited ,2008-05-30,2015-12-07,2747,sell_threshold,50000.0,50000.0,0.0,0.0
Shree Rama Multi-Tech Limited ,2015-12-15,2016-01-04,20,sell_threshold,50000.0,50000.0,0.0,0.0
Sterlite Technologies Limited,2008-10-06,2016-05-26,2789,sell_threshold,50000.0,277102.98165319546,227102.98165319546,4.542059633063909
