stock,entry_date,exit_date,holding_days,invested,exit_value,pnl,return_pct
Anand Projects Limited,2011-07-04,2013-06-24,721,100000.0,101767.21511273613,1767.2151127361285,0.017672151127361202
Bajaj Consumer Care Limited,2011-07-04,2013-06-24,721,100000.0,207865.67508359274,107865.67508359274,1.0786567508359273
Borosil Renewables Limited,2011-07-04,2013-06-24,721,100000.0,63195.07285770813,-36804.92714229187,-0.36804927142291866
Krishna Ventures Limited,2011-07-04,2013-06-24,721,100000.0,4952212.104117979,4852212.104117979,48.522121041179794
Piramal Enterprises Limited,2011-07-04,2013-06-24,721,100000.0,127078.07672337702,27078.076723377017,0.2707807672337701
The Tinplate Company of India Limited,2011-07-04,2013-06-24,721,100000.0,63416.59156122712,-36583.40843877288,-0.3658340843877288
Inter Globe Finance Limited,2011-08-05,2013-07-25,720,100000.0,29891.916704920084,-70108.08329507991,-0.7010808329507991
Westlife Foodworld Limited,2011-08-12,2013-08-01,720,100000.0,4779934.210526316,4679934.210526316,46.799342105263165
Kalyani Investment Company Limited ,2011-08-18,2013-08-07,720,100000.0,57900.05305472799,-42099.94694527201,-0.42099946945272004
V2 Retail Limited ,2011-09-05,2013-08-26,721,100000.0,33067.71491079846,-66932.28508920154,-0.6693228508920155
Tilak Ventures Limited,2011-09-13,2013-09-02,720,100000.0,466867.4698795181,366867.4698795181,3.668674698795181
Avance Technologies Limited,2011-09-29,2013-09-18,720,100000.0,6451.071260662235,-93548.92873933776,-0.9354892873933777
Empower India Limited,2011-10-17,2013-10-07,721,100000.0,4608.662939961325,-95391.33706003867,-0.9539133706003867
Moongipa Capital Finance Limited,2011-12-27,2013-12-16,720,100000.0,184151.59345391905,84151.59345391905,0.8415159345391905
PFL Infotech Limited,2012-01-16,2014-01-06,721,100000.0,751797.7053835233,651797.7053835233,6.517977053835232
Tridev Infraestates Limited,2012-03-30,2014-03-20,720,100000.0,21481.583287520614,-78518.41671247939,-0.7851841671247939
Libord Finance Limited,2012-05-10,2014-04-30,720,100000.0,86000.00000000001,-13999.999999999985,-0.1399999999999999
Nirlon Limited,2012-06-01,2014-05-22,720,100000.0,223465.69161137473,123465.69161137473,1.2346569161137473
Superior Industrial Enterprises Limited,2012-06-11,2014-06-02,721,100000.0,3896591.8203688855,3796591.8203688855,37.96591820368886
Brooks Laboratories Limited ,2012-06-27,2014-06-17,720,100000.0,177362.66488562364,77362.66488562364,0.7736266488562364
Vivo Bio Tech Limited,2012-09-25,2015-01-01,828,100000.0,156123.8902340597,56123.89023405971,0.561238902340597
Tuni Textile Mills Limited,2013-02-11,2015-02-02,721,100000.0,2187.8891990551856,-97812.11080094482,-0.9781211080094482
Orient Paper & Industries Limited,2013-03-07,2015-02-25,720,100000.0,156643.5237334535,56643.523733453505,0.5664352373345352
Everlon Financials Limited,2013-03-21,2015-03-11,720,100000.0,130721.07081174439,30721.070811744386,0.3072107081174438
Sawaca Enterprises Limited,2013-03-21,2015-03-11,720,100000.0,351586.9090909091,251586.90909090912,2.5158690909090913
Rushil Décor Limited ,2013-03-25,2015-03-16,721,100000.0,148501.07066381155,48501.07066381155,0.4850107066381155
Univa Foods Limited ,2013-03-25,2015-03-16,721,100000.0,93622.89366647297,-6377.10633352703,-0.06377106333527027
Gravita India Limited ,2013-03-28,2015-03-18,720,100000.0,130309.07424023721,30309.074240237213,0.3030907424023721
Onelife Capital Advisors Limited,2013-04-02,2015-03-23,720,100000.0,78628.45737097233,-21371.542629027666,-0.21371542629027662
Arshiya Limited,2013-04-03,2015-03-24,720,100000.0,478617.8130528896,378617.8130528896,3.7861781305288957
Gemstone Investments Limited,2013-04-11,2015-04-01,720,100000.0,12321.264117105327,-87678.73588289467,-0.8767873588289468
Eastern Treads Limited,2013-04-29,2015-04-20,721,100000.0,534624.9379036264,434624.93790362636,4.346249379036264
LGB Forge Limited,2013-04-30,2015-04-20,720,100000.0,471217.1717171717,371217.1717171717,3.7121717171717163
Setubandhan Infrastructure Limited,2013-05-07,2015-04-27,720,100000.0,94881.05583315229,-5118.944166847708,-0.051189441668477054
Advance Metering Technology Limited,2013-05-21,2015-05-11,720,100000.0,74633.93887842518,-25366.06112157482,-0.25366061121574823
Indo Credit Capital Limited,2013-05-22,2015-05-12,720,100000.0,23030.667468430547,-76969.33253156945,-0.7696933253156946
Polytex India Limited,2013-05-23,2015-05-13,720,100000.0,17362.869618965964,-82637.13038103403,-0.8263713038103404
India Power Corporation Limited ,2013-05-27,2015-05-18,721,100000.0,69750.0332464049,-30249.9667535951,-0.30249966753595103
